theme,strategy,signal_date,total_return,holding_weeks,n_stocks,signal_still_valid_pct,signal_type,signal_strength,tier
반도체 장비,alternative,2025-02-09,-2.4929395677694086,11.443298969072165,97,0.0,leadership,2.75,
반도체 장비,alternative,2025-02-09,-2.4929395677694086,11.443298969072165,97,0.0,leadership,1.375,
은행,alternative,2025-02-09,1.9012641200251073,11.909090909090908,11,0.0,leadership,3.0,
은행,alternative,2025-02-09,1.9012641200251073,11.909090909090908,11,0.0,leadership,1.6675,
은행,alternative,2025-02-09,1.9012641200251073,11.909090909090908,11,0.0,leadership,1.1116666666666668,
제약업체,alternative,2025-02-09,-0.19444042648543375,11.705263157894738,95,0.0,leadership,1.0050000000000001,
증권,alternative,2025-02-09,3.8622023453653327,12.0,26,0.0,leadership,1.175,
풍력에너지,alternative,2025-02-09,1.8128715335054684,11.571428571428571,42,0.0,leadership,3.0,
풍력에너지,alternative,2025-02-09,1.8128715335054684,11.571428571428571,42,0.0,leadership,2.0524999999999998,
풍력에너지,alternative,2025-02-09,1.8128715335054684,11.571428571428571,42,0.0,leadership,1.3683333333333332,
태양광에너지,alternative,2025-02-09,2.130875734375162,11.482142857142858,56,0.0,leadership,3.0,
태양광에너지,alternative,2025-02-09,2.130875734375162,11.482142857142858,56,0.0,leadership,1.6875,
태양광에너지,alternative,2025-02-09,2.130875734375162,11.482142857142858,56,0.0,leadership,1.125,
4차산업 수혜주,alternative,2025-02-09,-0.6658995511114955,10.608695652173912,46,0.0,leadership,2.0,
4차산업 수혜주,alternative,2025-02-09,-0.6658995511114955,10.608695652173912,46,0.0,leadership,1.0,
자율주행차,alternative,2025-02-09,-5.330234742119743,11.836065573770492,61,0.0,leadership,2.31,
자율주행차,alternative,2025-02-09,-5.330234742119743,11.836065573770492,61,0.0,leadership,1.155,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
건설 대표주,alternative,2025-02-09,5.940145774329602,12.0,9,0.0,leadership,1.6649999999999998,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
광고,alternative,2025-02-09,0.4043621109240457,11.615384615384615,26,0.0,leadership,1.6649999999999998,
카지노,alternative,2025-02-09,4.295468858694803,12.0,6,0.0,leadership,1.6649999999999998,
윤활유,alternative,2025-02-09,-0.4646138075213626,12.0,8,0.0,leadership,3.0,
윤활유,alternative,2025-02-09,-0.4646138075213626,12.0,8,0.0,leadership,1.6675,
윤활유,alternative,2025-02-09,-0.4646138075213626,12.0,8,0.0,leadership,1.1116666666666668,
자원개발,alternative,2025-02-09,-1.1145442224376736,11.375,16,0.0,leadership,2.2199999999999998,
자원개발,alternative,2025-02-09,-1.1145442224376736,11.375,16,0.0,leadership,1.1099999999999999,
은행,alternative,2025-02-09,1.9012641200251073,11.909090909090908,11,0.0,leadership,3.0,
은행,alternative,2025-02-09,1.9012641200251073,11.909090909090908,11,0.0,leadership,1.6675,
은행,alternative,2025-02-09,1.9012641200251073,11.909090909090908,11,0.0,leadership,1.1116666666666668,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
유리 기판,alternative,2025-02-09,-7.03174892009344,12.0,21,0.0,leadership,2.855,
유리 기판,alternative,2025-02-09,-7.03174892009344,12.0,21,0.0,leadership,1.4275,
GTX(수도권 광역급행철도),alternative,2025-02-09,4.039841613744235,11.586206896551724,29,0.0,leadership,3.0,
GTX(수도권 광역급행철도),alternative,2025-02-09,4.039841613744235,11.586206896551724,29,0.0,leadership,1.5525,
GTX(수도권 광역급행철도),alternative,2025-02-09,4.039841613744235,11.586206896551724,29,0.0,leadership,1.035,
사물인터넷,alternative,2025-02-09,0.2290551581265815,11.676470588235293,34,0.0,leadership,2.1350000000000002,
사물인터넷,alternative,2025-02-09,0.2290551581265815,11.676470588235293,34,0.0,leadership,1.0675000000000001,
전력설비,alternative,2025-02-09,-0.6182370305739051,11.428571428571429,35,0.0,leadership,3.0,
전력설비,alternative,2025-02-09,-0.6182370305739051,11.428571428571429,35,0.0,leadership,1.5,
전력설비,alternative,2025-02-09,-0.6182370305739051,11.428571428571429,35,0.0,leadership,1.0,
전기차,alternative,2025-02-09,-1.3616713364645832,11.765217391304347,115,0.0,leadership,2.0100000000000002,
전기차,alternative,2025-02-09,-1.3616713364645832,11.765217391304347,115,0.0,leadership,1.0050000000000001,
증권,alternative,2025-02-09,3.8622023453653327,12.0,26,0.0,leadership,1.175,
비료,alternative,2025-02-09,0.3849954458399188,12.0,12,0.0,leadership,3.0,
비료,alternative,2025-02-09,0.3849954458399188,12.0,12,0.0,leadership,1.6675,
비료,alternative,2025-02-09,0.3849954458399188,12.0,12,0.0,leadership,1.1116666666666668,
갤럭시 부품주,alternative,2025-02-09,-2.166054830936865,11.512195121951219,41,0.0,leadership,1.6649999999999998,
폴더블폰,alternative,2025-02-09,-2.20263213589293,11.483870967741936,31,0.0,leadership,2.02,
폴더블폰,alternative,2025-02-09,-2.20263213589293,11.483870967741936,31,0.0,leadership,1.01,
석유화학,alternative,2025-02-09,3.0078683244651385,10.818181818181818,22,0.0,leadership,3.0,
석유화학,alternative,2025-02-09,3.0078683244651385,10.818181818181818,22,0.0,leadership,1.6675,
석유화학,alternative,2025-02-09,3.0078683244651385,10.818181818181818,22,0.0,leadership,1.1116666666666668,
블록체인,alternative,2025-02-09,-1.446190616998081,11.653846153846153,26,0.0,leadership,1.6649999999999998,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,3.0,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.605,
2차전지,alternative,2025-02-09,-0.4002878117240807,11.278481012658228,158,0.0,leadership,1.07,
전기차,alternative,2025-02-09,-1.3616713364645832,11.765217391304347,115,0.0,leadership,2.0100000000000002,
전기차,alternative,2025-02-09,-1.3616713364645832,11.765217391304347,115,0.0,leadership,1.0050000000000001,
OLED(유기 발광 다이오드),alternative,2025-02-09,-2.059712421511913,11.465909090909092,88,0.0,leadership,1.5699999999999998,
전기차,alternative,2025-02-09,-1.3616713364645832,11.765217391304347,115,0.0,leadership,2.0100000000000002,
전기차,alternative,2025-02-09,-1.3616713364645832,11.765217391304347,115,0.0,leadership,1.0050000000000001,
네옴시티,alternative,2025-02-09,1.9704429269941925,11.793103448275861,29,0.0,leadership,3.0,
네옴시티,alternative,2025-02-09,1.9704429269941925,11.793103448275861,29,0.0,leadership,2.2375,
네옴시티,alternative,2025-02-09,1.9704429269941925,11.793103448275861,29,0.0,leadership,1.4916666666666667,
