theme,strategy,signal_date,total_return,holding_weeks,n_stocks,signal_still_valid_pct,signal_type,signal_strength,tier
증권,buy_after_8w,2025-02-16,17.065178432728786,3.576923076923077,26,100.0,leadership,1.175,
원자력발전,buy_after_8w,2025-02-16,14.162050287839202,3.3684210526315788,57,100.0,tier,1.9515149537245124,2.0
2차전지,buy_after_8w,2025-02-16,9.623253190636309,3.8164556962025316,158,100.0,leadership,3.0,
2차전지,buy_after_8w,2025-02-16,9.623253190636309,3.8164556962025316,158,100.0,leadership,1.605,
2차전지,buy_after_8w,2025-02-16,9.623253190636309,3.8164556962025316,158,100.0,leadership,1.07,
증권,buy_after_8w,2025-02-16,17.065178432728786,3.576923076923077,26,100.0,leadership,1.175,
폴더블폰,buy_after_8w,2025-02-16,7.961191166755074,3.838709677419355,31,100.0,leadership,2.02,
폴더블폰,buy_after_8w,2025-02-16,7.961191166755074,3.838709677419355,31,100.0,leadership,1.01,
2차전지,buy_after_8w,2025-02-16,9.623253190636309,3.8164556962025316,158,100.0,leadership,3.0,
2차전지,buy_after_8w,2025-02-16,9.623253190636309,3.8164556962025316,158,100.0,leadership,1.605,
2차전지,buy_after_8w,2025-02-16,9.623253190636309,3.8164556962025316,158,100.0,leadership,1.07,
남북경협,buy_after_8w,2025-02-16,10.539312641100883,3.5714285714285716,28,100.0,leadership,3.0,
남북경협,buy_after_8w,2025-02-16,10.539312641100883,3.5714285714285716,28,100.0,leadership,1.8175000000000001,
남북경협,buy_after_8w,2025-02-16,10.539312641100883,3.5714285714285716,28,100.0,leadership,1.2116666666666667,
반도체 장비,buy_after_8w,2025-02-23,7.061429500535577,3.9381443298969074,97,100.0,leadership,2.75,
반도체 장비,buy_after_8w,2025-02-23,7.061429500535577,3.9381443298969074,97,100.0,leadership,1.375,
은행,buy_after_8w,2025-02-23,10.939526436273907,3.727272727272727,11,100.0,leadership,3.0,
은행,buy_after_8w,2025-02-23,10.939526436273907,3.727272727272727,11,100.0,leadership,1.6675,
은행,buy_after_8w,2025-02-23,10.939526436273907,3.727272727272727,11,100.0,leadership,1.1116666666666668,
건설 대표주,buy_after_8w,2025-02-23,12.666285298833817,4.0,9,100.0,leadership,1.6649999999999998,
2차전지,buy_after_8w,2025-02-23,3.1665954712550146,3.8987341772151898,158,100.0,leadership,3.0,
2차전지,buy_after_8w,2025-02-23,3.1665954712550146,3.8987341772151898,158,100.0,leadership,1.605,
2차전지,buy_after_8w,2025-02-23,3.1665954712550146,3.8987341772151898,158,100.0,leadership,1.07,
석유화학,buy_after_8w,2025-02-23,7.4137416418742195,3.6363636363636362,22,100.0,leadership,3.0,
석유화학,buy_after_8w,2025-02-23,7.4137416418742195,3.6363636363636362,22,100.0,leadership,1.6675,
석유화학,buy_after_8w,2025-02-23,7.4137416418742195,3.6363636363636362,22,100.0,leadership,1.1116666666666668,
2차전지,buy_after_8w,2025-02-23,3.1665954712550146,3.8987341772151898,158,100.0,leadership,3.0,
2차전지,buy_after_8w,2025-02-23,3.1665954712550146,3.8987341772151898,158,100.0,leadership,1.605,
