theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
반도체 재료/부품,LARGE_DECREASE,2.858285583302695,38.33287525927115,-35.47458967596845,-92.54351372295928,68,"3S, HLB, HLB이노베이션, ISC, KEC, KPX케미칼, KX, KX하이텍, OCI, 나노"
냉각시스템(액침냉각 등),LARGE_DECREASE,3.3990009188475536,5.840874730448848,-2.441873811601295,-41.80664582432581,13,"3S, GS, GST, LG, LG전자, SK, SK이노베이션, 워트, 유니셈, 케이엔솔"
여름,"LARGE_DECREASE, DISCONNECTION",0.0,13.861797917594592,-13.861797917594592,-100.0,30,"3S, DI동일, LG, LG생활건강, 남해화학, 동우팜투테이블, 롯데웰푸드, 롯데칠성, 롯데하이마트, 마니커"
밸류업(24년 기업가치 제고계획 발표),LARGE_DECREASE,1.8969442878887264,48.28533377526747,-46.38838948737874,-96.07138619623589,101,"AK홀딩스, BNK금융지주, DB, DB증권, DB하이텍, HD한국조선해양, HD현대, HD현대건설기계, HD현대마린솔루션, HD현대미포"
지주사,LARGE_DECREASE,5.644792670360905,86.266260336608,-80.6214676662471,-93.4565464547378,155,"AK홀딩스, APS, BGF, BNK금융지주, CJ, CR홀딩스, CS, CS홀딩스, DB, DL"
항공/저가 항공사(LCC),"LARGE_DECREASE, NEW_CONNECTION",3.3675241243003033,-3.8778491281163843e-16,3.367524124300304,-8.68399984899886e+17,10,"AK홀딩스, 대한항공, 아시아나항공, 에어부산, 제주항공, 진에어, 티웨이항공, 티웨이홀딩스, 한진, 한진칼"
OLED(유기 발광 다이오드),LARGE_DECREASE,1.325391373792584,39.67878968630866,-38.35339831251608,-96.65969807982849,88,"APS, AP시스템, HB솔루션, HB테크놀러지, LG, LG디스플레이, LG전자, LG화학, LX세미콘, PI첨단소재"
맥신(MXene),"LARGE_DECREASE, DISCONNECTION",0.0,5.829913513373968,-5.829913513373968,-100.0,11,"APS, 경동인베스트, 나노, 나인테크, 센코, 아모센스, 아이크래프트, 태경산업, 티플랙스, 한국앤컴퍼니"
반도체 장비,LARGE_DECREASE,1.9581923552647862,52.05357771735479,-50.095385362090006,-96.23812148725386,97,"AP시스템, GS, GST, HPSP, SFA반도체, 고영, 그린리소스, 기가레인, 기가비스, 네오셈"
플렉서블 디스플레이,"LARGE_DECREASE, DISCONNECTION",0.0,12.037780582767912,-12.037780582767912,-100.0,27,"AP시스템, HB솔루션, LG, LG디스플레이, PI첨단소재, SK, SKC, 경인양행, 덕산네오룩스, 디이엔티"
통신장비,"LARGE_DECREASE, DISCONNECTION",0.0,23.903314721193016,-23.903314721193016,-100.0,48,"AP위성, CS, LS, LS마린솔루션, RFHIC, RF머트리얼즈, 기가레인, 기산텔레콤, 다보링크, 다산네트웍스"
우주항공산업(누리호/인공위성 등),"LARGE_DECREASE, DISCONNECTION",0.0,15.95162780695567,-15.95162780695567,-100.0,30,"AP위성, LIG넥스원, LK삼양, 대한항공, 덕산하이메탈, 루미르, 브이엠, 비츠로테크, 상아프론테크, 서남"
밸류업(25년 기업가치 제고계획 발표),"LARGE_DECREASE, DISCONNECTION",0.0,47.21690439888692,-47.21690439888692,-100.0,79,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, DI동일, F&F, GS, HMM, HS애드"
코리아 밸류업 지수(Korea Value-up Index),LARGE_DECREASE,2.854146314056459,65.5944806898266,-62.74033437577014,-95.64880111247055,118,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, F&F, HD현대, HD현대인프라코어, HD현대일렉트릭, HMM"
