ticker,strategy,score,stage,themes,priority
대성산업,Early Breakout (Transition),85,Early Breakout,[],HIGH
신도리코,Early Breakout (Transition),85,Early Breakout,[],HIGH
일신방직,Early Breakout (Transition),85,Early Breakout,[],HIGH
파두,Early Breakout (Transition),85,Early Breakout,[],HIGH
JB금융지주,Early Breakout (Transition),85,Early Breakout,[],HIGH
SG세계물산,Early Breakout (Transition),85,Early Breakout,[],HIGH
SGC에너지,Early Breakout (Transition),83,Early Breakout,[],HIGH
이화산업,Early Breakout (Transition),81,Early Breakout,[],HIGH
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
대모,Early Breakout (Transition),78,Early Breakout,[],HIGH
한국알콜,Early Breakout (Transition),77,Early Breakout,[],HIGH
영원무역,Early Breakout (Transition),75,Early Breakout,[],HIGH
하나금융지주,Super Trend (Bull Quiet),74,Super Trend,[],HIGH
SK,Super Trend (Bull Quiet),74,Super Trend,[],HIGH
대한전선,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
한화시스템,Super Trend (Bull Quiet),72,Super Trend,[],HIGH
신한지주,Super Trend (Bull Quiet),71,Super Trend,[],HIGH
BYC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
롯데에너지머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
알에스오토메이션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
포스코인터내셔널,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
미래에셋증권우,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이프릴바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
주성엔지니어링,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코오롱생명과학,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
바이오스마트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이로보틱스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이에스동서,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이치엠넥스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
엘앤씨바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
와이투솔루션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
육일씨엔에쓰,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
제이에스링크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
지엠비코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코오롱티슈진,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한화갤러리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
골드앤에스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
나래나노텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
까뮤이앤씨,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
동진쎄미켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
메디포스트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼양엔씨켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼표시멘트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
