date,stress_index,stress_accel,divergence
2025-01-08,0.0,0.0,0.0
2025-01-15,0.0,0.0,-0.4571
2025-01-22,1.9721,0.0,-0.2403
2025-02-05,2.1395,0.0,-0.5357
2025-02-12,1.9658,0.0,-0.2194
2025-02-19,1.7074,1.7074,-0.0621
2025-02-26,1.8599,1.8599,0.1425
2025-03-05,2.1549,0.1828,0.1379
2025-03-12,2.1411,0.0016,0.047
2025-03-19,1.501,-0.4648,-0.0039
2025-03-26,0.5678,-1.1396,0.0025
2025-04-02,0.5628,-1.2971,-0.0385
2025-04-09,1.0359,-1.119,-0.0644
2025-04-16,2.0091,-0.132,0.0071
2025-04-23,1.9044,0.4034,0.1085
2025-04-30,2.0729,1.5051,0.1282
2025-05-14,2.4037,1.8409,-0.0194
2025-05-21,2.3845,1.3486,-0.0555
2025-05-28,1.2984,-0.7107,0.0612
2025-06-04,1.4587,-0.4457,0.0406
2025-06-11,1.6991,-0.3738,0.1001
2025-06-18,1.7953,-0.6084,-0.0214
2025-06-25,1.7868,-0.5977,0.0025
2025-07-02,1.4644,0.166,0.0175
2025-07-09,1.6516,0.1929,0.0601
2025-07-16,1.3307,-0.3684,0.1344
2025-07-23,1.4651,-0.3302,-0.0427
2025-07-30,1.5063,-0.2805,-0.077
2025-08-06,1.4045,-0.0599,-0.1984
2025-08-13,1.1667,-0.4849,-0.124
2025-08-20,1.285,-0.0457,-0.1307
2025-08-27,0.9079,-0.5572,-0.0052
2025-09-03,0.7948,-0.7115,0.0022
2025-09-10,0.6717,-0.7328,-0.0014
2025-09-17,0.469,-0.6977,-0.0363
2025-09-24,0.439,-0.846,-0.0308
2025-10-01,0.3873,-0.5206,-0.0283
2025-10-15,0.6511,-0.1437,0.0689
2025-10-22,0.6494,-0.0223,0.0998
2025-10-29,0.896,0.427,0.0559
2025-11-05,1.1709,0.7319,-0.0105
2025-11-12,1.1949,0.8076,-0.0314
2025-11-19,1.7253,1.0742,0.1145
2025-11-26,1.7599,1.1105,0.2367
2025-12-03,3.1311,2.2351,-0.0032
2025-12-10,3.0948,1.9239,-0.0116
2025-12-17,3.1895,1.9946,-0.2277
2025-12-24,2.6944,0.9691,0.0257
2025-12-30,2.2013,0.4414,-0.0389
2026-01-07,0.841,-2.2901,0.0167
2026-01-14,0.8089,-2.2859,0.0559
2026-01-21,0.5194,-2.6701,0.0491
2026-01-28,1.4153,-1.2791,0.2476
2026-02-04,2.7719,0.5706,0.013
