theme,tier,signal_type_tier,signal_type_cohesion,signal_type_leadership,signal_type_combined,signal_strength,is_tier1,is_tier2,leadership_gap,current_fiedler,week_before_fiedler,fiedler_change,fiedler_pct_change,day_of_week,day_of_month,month,quarter,is_month_end,is_quarter_end,n_stocks,meta_label,meta_label_status,confidence
2차전지,1,1,1,0,1,2,1,0,,7.510385177355364,4.586403376143852,2.9239818012115126,63.75326288177323,1,3,2,1,0,0,162,1,PASS,0.8812163
은행,2,1,1,0,1,1,0,1,,3.7282596058483297,1.315451921607519,2.412807684240811,183.42043860427017,1,3,2,1,0,0,11,1,PASS,0.56315774
스테이블코인,2,1,1,0,1,1,0,1,,3.504213736591017,1.21491955377114,2.2892941828198774,188.4317505396841,1,3,2,1,0,0,24,1,PASS,0.56315774
수소차(연료전지/부품/충전소 등),1,1,1,0,1,2,1,0,,4.192317094624278,2.567824440873012,1.6244926537512665,63.26338467278432,1,3,2,1,0,0,85,1,PASS,0.8812163
음식료업종,4,0,0,0,0,0,0,0,,4.359904248400194,3.3266624316166014,1.0332418167835926,31.05941279053931,1,3,2,1,0,0,74,0,FILTERED,0.4074155
의료기기,4,0,0,0,0,0,0,0,,4.284324299860052,3.26214716840838,1.0221771314516728,31.334488564793933,1,3,2,1,0,0,94,0,FILTERED,0.4074155
전력설비,4,0,0,0,0,0,0,0,,2.7030910239487684,1.763739481536363,0.9393515424124056,53.25908685755294,1,3,2,1,0,0,37,0,FILTERED,0.49695203
화폐/금융자동화기기(디지털화폐 등),4,0,0,0,0,0,0,0,,1.427036555382087,0.5659111755643222,0.8611253798177647,152.1661732442476,1,3,2,1,0,0,13,1,PASS,0.5850907
방위산업/전쟁 및 테러,4,0,0,0,0,0,0,0,,3.629126877233988,2.772955365473757,0.8561715117602304,30.87577688485275,1,3,2,1,0,0,61,0,FILTERED,0.4074155
"주류업(주정, 에탄올 등)",4,0,0,0,0,0,0,0,,1.3413987817978028,0.5057477710922282,0.8356510107055746,165.23078468559086,1,3,2,1,0,0,13,1,PASS,0.5850907
코로나19(진단/치료제/백신 개발 등),4,0,0,0,0,0,0,0,,4.244604036517744,3.409262888627661,0.8353411478900834,24.502104272350067,1,3,2,1,0,0,83,0,FILTERED,0.4074155
지주사,4,0,0,0,0,0,0,0,,8.806580126082977,8.10588903152262,0.7006910945603568,8.644222636597556,1,3,2,1,0,0,157,0,FILTERED,0.2884651
NI(네트워크통합),4,0,0,0,0,0,0,0,,1.0653990025578286,0.3667198142693071,0.6986791882885215,190.52125385715703,1,3,2,1,0,0,7,1,PASS,0.5850907
증권,4,0,0,0,0,0,0,0,,3.5176866074588005,2.8223917891303505,0.69529481832845,24.63495043481145,1,3,2,1,0,0,26,0,FILTERED,0.4074155
렌터카,4,0,0,0,0,0,0,0,,0.8560999676181198,0.1662072681681203,0.6898926994499995,415.0797417307685,1,3,2,1,0,0,4,1,PASS,0.5850907
