date,within_sector,cross_sector,n_themes,mean_correlation,cross_change,within_change,stress_index,stress_accel,divergence
2025-01-08,3.4828,4.4437,190,0.3507,,,0.0,0.0,0.0
2025-01-15,3.417,3.4637,191,0.3486,-0.98,-0.0658000000000003,0.0,0.0,-0.4571
2025-01-22,3.2585,3.0415,190,0.3402,-0.4221999999999997,-0.15849999999999964,1.9721,0.0,-0.2403
2025-02-05,3.5486,2.9025,192,0.3634,-0.13900000000000023,0.2900999999999998,2.1395,0.0,-0.5357
2025-02-12,2.6398,2.0282,180,0.3036,-0.8742999999999999,-0.9087999999999998,1.9658,0.0,-0.2194
2025-02-19,1.7693,1.3659,162,0.226,-0.6623000000000001,-0.8705,1.7074,1.7074,-0.0621
2025-02-26,1.6224,1.4039,163,0.2047,0.038000000000000034,-0.14690000000000003,1.8599,1.8599,0.1425
2025-03-05,1.6791,1.4813,159,0.2224,0.07740000000000014,0.05669999999999997,2.1549,0.1828,0.1379
2025-03-12,1.5754,1.3129,147,0.2178,-0.1684000000000001,-0.10370000000000013,2.1411,0.0016,0.047
2025-03-19,1.4964,1.2661,153,0.2177,-0.04679999999999995,-0.07899999999999996,1.501,-0.4648,-0.0039
2025-03-26,1.5733,1.383,149,0.2184,0.1169,0.07689999999999997,0.5678,-1.1396,0.0025
2025-04-02,1.7828,1.4048,174,0.2475,0.02180000000000004,0.20950000000000002,0.5628,-1.2971,-0.0385
2025-04-09,2.21,1.7864,176,0.2797,0.38159999999999994,0.4272,1.0359,-1.119,-0.0644
2025-04-16,2.8953,2.7263,186,0.3352,0.9399000000000002,0.6853000000000002,2.0091,-0.132,0.0071
2025-04-23,2.8476,2.7952,177,0.3374,0.06889999999999974,-0.0477000000000003,1.9044,0.4034,0.1085
2025-04-30,2.7517,2.7126,187,0.3384,-0.08259999999999978,-0.09589999999999987,2.0729,1.5051,0.1282
2025-05-14,2.6429,2.4156,188,0.3358,-0.29700000000000015,-0.10880000000000001,2.4037,1.8409,-0.0194
2025-05-21,2.6131,2.3942,200,0.3318,-0.021399999999999864,-0.029799999999999827,2.3845,1.3486,-0.0555
2025-05-28,2.6631,2.8075,201,0.3326,0.4133,0.04999999999999982,1.2984,-0.7107,0.0612
2025-06-04,2.6115,2.5061,203,0.323,-0.3014000000000001,-0.05160000000000009,1.4587,-0.4457,0.0406
2025-06-11,1.9821,2.0636,186,0.2676,-0.4424999999999999,-0.6294,1.6991,-0.3738,0.1001
2025-06-18,1.5623,1.6425,166,0.2033,-0.42110000000000003,-0.41979999999999995,1.7953,-0.6084,-0.0214
2025-06-25,1.6995,1.6016,171,0.2153,-0.04090000000000016,0.1372,1.7868,-0.5977,0.0025
2025-07-02,1.715,1.849,184,0.2209,0.24740000000000006,0.01550000000000007,1.4644,0.166,0.0175
2025-07-09,1.7923,2.0528,170,0.2335,0.20379999999999998,0.07729999999999992,1.6516,0.1929,0.0601
2025-07-16,1.6998,2.005,169,0.2309,-0.047800000000000065,-0.09250000000000003,1.3307,-0.3684,0.1344
2025-07-23,1.5091,1.5151,166,0.2243,-0.4899,-0.19069999999999987,1.4651,-0.3302,-0.0427
2025-07-30,1.6217,1.6511,164,0.2273,0.13600000000000012,0.11259999999999981,1.5063,-0.2805,-0.077
2025-08-06,1.7217,1.4317,187,0.2546,-0.21940000000000004,0.10000000000000009,1.4045,-0.0599,-0.1984
2025-08-13,1.561,1.195,185,0.2426,-0.2366999999999999,-0.16070000000000007,1.1667,-0.4849,-0.124
2025-08-20,1.6414,1.2788,165,0.2549,0.08379999999999987,0.08040000000000003,1.285,-0.0457,-0.1307
2025-08-27,1.6674,1.3619,175,0.2568,0.08310000000000017,0.026000000000000023,0.9079,-0.5572,-0.0052
2025-09-03,1.7188,1.3593,170,0.2445,-0.0026000000000001577,0.05140000000000011,0.7948,-0.7115,0.0022
2025-09-10,1.7746,1.4077,162,0.2392,0.0484,0.05579999999999985,0.6717,-0.7328,-0.0014
2025-09-17,1.681,1.2665,164,0.2302,-0.1412,-0.0935999999999999,0.469,-0.6977,-0.0363
2025-09-24,1.7613,1.3093,166,0.2392,0.04279999999999995,0.08030000000000004,0.439,-0.846,-0.0308
2025-10-01,1.7211,1.2693,171,0.244,-0.039999999999999813,-0.040200000000000014,0.3873,-0.5206,-0.0283
2025-10-15,1.6894,1.4817,175,0.2067,0.21239999999999992,-0.03170000000000006,0.6511,-0.1437,0.0689
2025-10-22,1.6317,1.479,166,0.2035,-0.0026999999999999247,-0.057700000000000085,0.6494,-0.0223,0.0998
2025-10-29,1.4786,1.1945,177,0.1974,-0.2845000000000002,-0.1531,0.896,0.427,0.0559
2025-11-05,1.7496,1.5104,173,0.2145,0.31590000000000007,0.27100000000000013,1.1709,0.7319,-0.0105
2025-11-12,1.9638,1.717,182,0.2475,0.20660000000000012,0.21419999999999995,1.1949,0.8076,-0.0314
2025-11-19,2.2939,2.3532,184,0.2718,0.6362000000000001,0.33009999999999984,1.7253,1.0742,0.1145
2025-11-26,2.3712,2.8421,199,0.2916,0.48889999999999967,0.07730000000000015,1.7599,1.1105,0.2367
2025-12-03,2.1591,1.9026,210,0.2853,-0.9394999999999998,-0.21209999999999996,3.1311,2.2351,-0.0032
2025-12-10,2.0235,2.0479,199,0.2824,0.14529999999999976,-0.13560000000000016,3.0948,1.9239,-0.0116
2025-12-17,1.9763,1.764,184,0.2805,-0.2838999999999998,-0.04719999999999991,3.1895,1.9946,-0.2277
2025-12-24,1.9725,1.7932,177,0.2822,0.029199999999999893,-0.0038000000000000256,2.6944,0.9691,0.0257
2025-12-30,1.9086,1.8164,186,0.2748,0.02320000000000011,-0.06389999999999985,2.2013,0.4414,-0.0389
2026-01-07,2.079,1.9169,168,0.278,0.10050000000000003,0.1704000000000001,0.841,-2.2901,0.0167
2026-01-14,1.7506,1.7389,175,0.2509,-0.17800000000000016,-0.32840000000000025,0.8089,-2.2859,0.0559
2026-01-21,1.6641,1.7191,170,0.243,-0.019799999999999818,-0.08650000000000002,0.5194,-2.6701,0.0491
2026-01-28,1.7105,2.2913,143,0.2144,0.5722,0.0464,1.4153,-1.2791,0.2476
2026-02-04,1.3125,1.3399,262,0.0,-0.9514,-0.3979999999999999,2.7719,0.5706,0.013
