date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,2.47676561683896,5,10,0.6114327570032192,True
2025-02-11,1.4068603382568758,5,9,0.4785174990532886,True
2025-02-18,2.374938469816865,5,10,0.5797446127615988,True
2025-02-25,1.7509453537419255,5,10,0.4851857440634345,True
2025-03-05,2.0624835243559527,5,10,0.5348923169099333,True
2025-03-12,2.5793068907663232,5,10,0.5852731483786435,True
2025-03-19,1.9486976575399837,5,10,0.5304672494149834,True
2025-03-26,1.8345152873681303,5,10,0.4972935587399718,True
2025-04-02,0.7951010284585021,5,8,0.4381598460359391,True
2025-04-09,1.5521131177021763,5,9,0.5548370731009757,True
2025-04-16,3.164768150578919,5,10,0.7381305983293382,True
2025-04-23,3.5627007624169496,5,10,0.773636528677304,True
2025-04-30,3.075426030550939,5,10,0.7171311005268064,True
2025-05-12,2.540749270778528,5,10,0.6359424303332619,True
2025-05-19,0.7443338462382194,5,7,0.476145039201845,True
2025-05-26,0.4003845515584125,5,6,0.3992144836594169,True
2025-06-02,2.032690657732896,5,10,0.6169989467255678,True
2025-06-11,1.9872165492681573,5,10,0.5950648416006025,True
2025-06-18,1.0212187244329842,5,8,0.4672330466341549,True
2025-06-25,0.8590950988292665,5,8,0.4009761595138482,True
2025-07-02,0.3167887897009759,5,5,0.3038756937764758,True
2025-07-09,0.4557099469632189,5,6,0.2919338226542805,True
2025-07-16,0.1599865599016249,5,4,0.2790604878914099,True
2025-07-23,0.3539274609033586,5,6,0.2568510394021602,True
2025-07-30,0.5555860165275933,5,7,0.1653574360261841,True
2025-08-06,0.4509909791876571,5,6,0.3330268357475182,True
2025-08-13,0.7483035783921156,5,8,0.3569509512276648,True
2025-08-21,0.8716469256260453,5,8,0.4420819204524467,True
2025-08-28,0.940936541424247,5,8,0.4612887695319149,True
2025-09-04,1.39038736043586e-64,5,4,0.3111226569730609,False
2025-09-11,8.476328854346539e-68,5,4,0.3564289427399092,False
2025-09-18,-2.562055170896959e-50,5,4,0.2300617198046978,False
2025-09-25,0.3625765133350143,5,6,0.3627031239874813,True
2025-10-02,1.922823175535856,5,10,0.4991642799234986,True
2025-10-16,0.7105998653545498,5,8,0.4448699038346154,True
2025-10-23,0.787177919779191,5,8,0.4220699667009546,True
2025-10-30,0.3915027618632826,5,6,0.3100168809627605,True
2025-11-06,-3.7798601020445787e-51,5,4,0.3142656384878423,False
2025-11-13,0.6769921700174838,5,7,0.4260635367284237,True
2025-11-20,1.3238576617836235,5,9,0.5215709516351762,True
2025-11-27,2.526433985401352,5,10,0.6312102703532185,True
2025-12-04,1.730347312138485,5,9,0.6090955818464645,True
2025-12-11,1.256463023864453,5,9,0.5190616702883564,True
2025-12-18,0.8042670128114295,5,8,0.482924494262162,True
2025-12-26,0.3862721800107127,5,7,0.4242541754673376,True
2026-01-06,1.9817701292863432,5,10,0.5448806642595188,True
2026-01-13,2.0686019506104483,5,10,0.6044031796987188,True
2026-01-20,0.7540107750658658,5,8,0.4118433993426308,True
2026-01-27,0.1830533215115311,5,5,0.2952729084160649,True
2026-02-03,0.6039712000212756,5,7,0.3899793808930867,True
