date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.3147938858241563,33,400,0.4213100962493792,True
2025-02-11,1.9042129512076469,33,361,0.3502166565333829,True
2025-02-18,1.5295907236121953,33,356,0.3524654633855536,True
2025-02-25,2.0367837171663874,33,332,0.2951896268358561,True
2025-03-05,1.7107638031244383,33,355,0.3287699268174088,True
2025-03-12,1.2606362750434523,33,358,0.3369969725002295,True
2025-03-19,2.044390548334767,33,337,0.3018308771864413,True
2025-03-26,0.3507273255589976,33,325,0.3058142926963578,True
2025-04-02,0.8861486200881411,33,345,0.3430855696508127,True
2025-04-09,3.7709962463712414,33,431,0.4471868175907393,True
2025-04-16,4.841984239243095,33,495,0.6126224708121526,True
2025-04-23,7.486010957721637,33,508,0.6675412067464895,True
2025-04-30,8.081857593245934,33,504,0.6676196630138078,True
2025-05-12,0.8289778731053448,33,466,0.5956601426905569,True
2025-05-19,1.659690026830418,33,407,0.4388570161845126,True
2025-05-26,1.0895327675410644,33,372,0.3688893447175326,True
2025-06-02,0.3009354047243124,33,386,0.4110829227555886,True
2025-06-11,1.201877526320556,33,402,0.4090113927066997,True
2025-06-18,1.2463559525489638,33,378,0.4168740460809538,True
2025-06-25,2.227380056055112,33,403,0.4383481600178563,True
2025-07-02,2.45387288351237,33,368,0.3959761475268724,True
2025-07-09,1.839163687669084,33,384,0.4055704430643666,True
2025-07-16,2.0910791834898395,33,346,0.3654917534212818,True
2025-07-23,1.0935738460697364,33,322,0.3154517350460755,True
2025-07-30,0.8639636067147856,33,331,0.3013422432527057,True
2025-08-06,1.123290353871529,33,368,0.3998136359109517,True
2025-08-13,1.7232026415912751,33,399,0.4107466489367435,True
2025-08-21,3.788656760088471,33,446,0.4855480370067134,True
2025-08-28,2.82595999738312,33,423,0.4705875921699331,True
2025-09-04,0.8644085655185167,33,339,0.3484715947419989,True
2025-09-11,1.7068822341743288,33,349,0.3374916161905809,True
2025-09-18,1.061019969441585,33,302,0.2589868968208055,True
2025-09-25,1.2281416998750618,33,307,0.2779620553348754,True
2025-10-02,1.4989436258155175,33,366,0.3432956908053303,True
2025-10-16,1.117292061925919,33,294,0.2879043032673221,True
2025-10-23,1.6126382588723271,33,295,0.2648872586486155,True
2025-10-30,1.5883342800388247,33,337,0.3580334945890556,True
2025-11-06,1.001594864063288,33,321,0.33274033058657,True
2025-11-13,0.6505517109575137,33,396,0.4131214949748198,True
2025-11-20,5.876278631253071,33,486,0.5271767828041197,True
2025-11-27,0.8353193644367377,33,448,0.5009799460268158,True
2025-12-04,2.26297359797024,33,436,0.4865445649004431,True
2025-12-11,1.2045048593122851,33,372,0.3925553375704305,True
2025-12-18,1.9105203154363608,33,348,0.3381562368466776,True
2025-12-26,1.4279326819206868,33,291,0.2911637154961167,True
2026-01-06,0.9224768363808908,33,283,0.2863627769418098,True
2026-01-13,1.2429665994328958,33,341,0.3364120346597157,True
2026-01-20,1.5183330479742212,33,336,0.3005918156394518,True
2026-01-27,1.654763777747268,33,367,0.3943395638508619,True
