date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.8065065842646744,44,459,,False
2025-02-11,2.391535080339192,44,408,,False
2025-02-18,2.038185997711892,44,404,,False
2025-02-25,1.9303839337002788,44,453,,False
2025-03-05,1.8547180368518847,44,442,,False
2025-03-12,2.1923132791768376,44,441,,False
2025-03-19,2.64132393218661,44,423,,False
2025-03-26,1.664765277660507,44,386,,False
2025-04-02,1.355951635801451,44,382,,False
2025-04-09,1.6380042507519401,44,512,,False
2025-04-16,1.6083281459320167,44,668,,False
2025-04-23,1.2857529461691015,44,678,,False
2025-04-30,2.164612805423348,44,705,,False
2025-05-12,1.863659490960201,44,517,,False
2025-05-19,1.584228903908364,44,341,,False
2025-05-26,2.0865244194407433,44,326,0.09819786219678792,True
2025-06-02,1.9429958459163463,44,306,0.08876139727693373,True
2025-06-11,1.7667991979618058,44,349,0.1134798268745851,True
2025-06-18,1.5917208034773322,44,347,0.11944524611403706,True
2025-06-25,1.9281116639514415,44,383,0.1341559387138896,True
2025-07-02,1.2896812939625666,44,415,0.1650654546866487,True
2025-07-09,2.238738200307475,44,448,0.2092361291106148,True
2025-07-16,2.3377376762307485,44,404,0.17276956786200662,True
2025-07-23,2.4254594268446774,44,390,0.13804855763488927,True
2025-07-30,1.442335502803732,44,375,0.131748013705116,True
2025-08-06,1.4457777937235694,44,423,0.19817391231256165,True
2025-08-13,2.0625427390534914,44,418,0.19564931528315888,True
2025-08-21,1.854100794857636,44,449,0.2139307438912394,True
2025-08-28,1.8665489458621898,44,448,0.20084051538347153,True
2025-09-04,2.07312019773786,44,364,0.11221552813297614,True
2025-09-11,1.9792769745367078,44,374,0.12441480526618617,True
2025-09-18,1.9864576088932977,44,327,0.09257080591635561,True
2025-09-26,2.065414060443004,44,390,0.1414331828460544,True
2025-10-10,1.9820496108609906,44,327,0.0965937730304848,True
2025-10-17,1.9678904105762787,44,319,0.09275909474359305,True
2025-10-24,0.8418494194897823,44,297,0.06963369747685601,True
2025-10-31,0.3071429088442564,44,263,0.05199275249435002,True
2025-11-07,0.6380876735000155,44,328,0.09576341039973521,True
2025-11-14,1.6951111454541417,44,423,0.17370552016832538,True
2025-11-21,1.7905985840462861,44,488,0.237984490233648,True
2025-11-28,0.6441182891142387,44,561,0.2735686206735046,True
2025-12-05,2.4782309808900638,44,502,0.24817345674348196,True
2025-12-12,1.9166458455578153,44,423,0.17895520119041364,True
2025-12-19,2.4471420516035005,44,349,0.11433189036859655,True
2025-12-29,1.6305507106303105,44,307,0.0893796389207944,True
2026-01-07,1.7656547231784674,44,317,0.08001996630501133,True
2026-01-14,1.8667255071879605,44,304,0.08777406410755796,True
2026-01-21,1.7406704387617071,44,290,0.07008507451790283,True
2026-01-28,1.8215231826688274,44,333,0.0825372212729724,True
