date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.1629815969842298,29,187,0.1983638713604203,True
2025-02-11,1.2375056067522827,29,170,0.1621030953637634,True
2025-02-18,1.4070291217309925,29,156,0.1602514364072859,True
2025-02-25,1.3850366375971117,29,171,0.1726742581418084,True
2025-03-05,1.1718133886938182,29,173,0.181401370403883,True
2025-03-12,1.7400011312201986,29,214,0.2387080184365359,True
2025-03-19,0.8482686004090624,29,209,0.228418534790452,True
2025-03-26,0.6453833539462857,29,208,0.2408517765242263,False
2025-04-02,0.3551081005734967,29,268,0.3446253229696082,True
2025-04-09,3.318914007627124,29,311,0.3580567569963016,True
2025-04-16,1.264889441787483,29,325,0.4112018972537835,True
2025-04-23,2.279380180445667,29,313,0.3942586723082116,True
2025-04-30,1.8654403978459484,29,270,0.2978770397916824,True
2025-05-12,2.0009872331513785,29,212,0.2046569419073254,True
2025-05-19,1.488826379921978,29,171,0.1536674174171052,True
2025-05-26,1.2041037608116296,29,172,0.1545724182692672,True
2025-06-02,1.0316180673177977,29,179,0.205390518200532,True
2025-06-11,1.1974187252514314,29,226,0.3416457098928316,True
2025-06-18,1.1245101768052177,29,203,0.2872201893210704,True
2025-06-25,0.9603890588725932,29,188,0.2459595720321417,True
2025-07-02,0.9558449886526268,29,254,0.3227897674826951,True
2025-07-09,2.107077656881393,29,238,0.2826010445328256,True
2025-07-16,2.2477044203359107,29,240,0.2885037152707897,True
2025-07-23,2.384243645896293,29,274,0.3148159885681934,True
2025-07-30,1.2527741660514151,29,236,0.2822601122644015,True
2025-08-06,4.24819118414364,29,288,0.3920912973166295,True
2025-08-13,3.416843553790891,29,305,0.4382485046584631,True
2025-08-21,5.018413578042807,29,367,0.5117968344517417,True
2025-08-28,2.552635569499656,29,365,0.5152361971782852,True
2025-09-04,2.90132761077451,29,249,0.2580123123203601,True
2025-09-11,1.6368939017531292,29,277,0.3377365160181269,True
2025-09-18,1.0214749502404767,29,237,0.3033931407833289,True
2025-09-25,0.6115117038638916,29,226,0.2943346651190104,True
2025-10-02,1.1403497044845683,29,265,0.3510934849826906,True
2025-10-16,1.075197049052811,29,244,0.3111665342850522,True
2025-10-23,1.5877950012066355,29,257,0.3349274706115063,True
2025-10-30,3.434198628913584,29,282,0.3683865631293362,True
2025-11-06,1.3532800695764478,29,267,0.328265422985014,True
2025-11-13,1.0753057705132147,29,324,0.454072016359167,True
2025-11-20,1.498682508780042,29,333,0.4864927032859992,True
2025-11-27,1.4165565390445622,29,336,0.4902649064319411,True
2025-12-04,4.695124436745277,29,364,0.5232338743561815,True
2025-12-11,1.6186914558399506,29,288,0.3974785979327697,True
2025-12-18,1.7542342279365926,29,239,0.3291795832382123,True
2025-12-26,1.233072456607405,29,282,0.354050622302685,True
2026-01-06,1.34037552536191,29,290,0.3443478823206714,True
2026-01-13,1.0929786209807963,29,334,0.3954402125777805,True
2026-01-20,1.4413510482882217,29,267,0.2962689717611586,True
2026-01-27,1.6775835956170253,29,298,0.4038406978933274,True
