date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.6002998641203343,34,239,0.1878893692573874,True
2025-02-11,1.6767756848402209,34,223,0.1370250548112115,True
2025-02-18,1.5514059979442816,34,202,0.1099022038476937,True
2025-02-25,1.743241807216596,34,202,0.115042884299923,True
2025-03-05,1.3727406761238077,34,183,0.1024762129800513,True
2025-03-12,1.386580938726212,34,197,0.0973937275205776,True
2025-03-19,1.357977019598183,34,191,0.1010925307353365,True
2025-03-26,1.2443699156293908,34,181,0.0948347529227544,True
2025-04-02,0.6464744769374171,34,226,0.1715460319112283,True
2025-04-09,1.1625755310881414,34,351,0.3115379547439265,True
2025-04-16,2.0324699318784214,34,438,0.4471896608236148,True
2025-04-23,2.0719474119084182,34,435,0.4680832173929758,True
2025-04-30,2.5487311736343834,34,434,0.4408646887285218,True
2025-05-12,1.166953852554471,34,380,0.3619899434459523,True
2025-05-19,1.2258431758745338,34,246,0.1513896667563157,True
2025-05-26,1.2431202761704772,34,246,0.1244344189452829,True
2025-06-02,1.4780852654073664,34,239,0.1301484261098945,True
2025-06-11,1.5860402530610154,34,254,0.1700440424462755,True
2025-06-18,1.877351271400552,34,253,0.1915886574803042,True
2025-06-25,1.4678344138248551,34,262,0.1994539837443413,True
2025-07-02,1.2767313467588788,34,270,0.2124233499416925,True
2025-07-09,1.403442189121865,34,266,0.2003232470489625,True
2025-07-16,1.9049303104261164,34,223,0.1522913291182076,True
2025-07-23,0.8795010224127279,34,214,0.1282554567647761,True
2025-07-30,0.8172927798175214,34,205,0.1161124102072713,True
2025-08-06,1.335128666041613,34,273,0.2101055430299018,True
2025-08-13,1.4954820573507857,34,268,0.2257864711944475,True
2025-08-21,0.9361398490735512,34,291,0.234354947632266,True
2025-08-28,0.6409477583529258,34,308,0.2508182219602489,True
2025-09-04,1.2623853786952357,34,251,0.1779018254938885,True
2025-09-11,1.0741614450677046,34,258,0.1947877975869064,True
2025-09-18,1.247768074309614,34,235,0.1681391921052147,True
2025-09-26,1.01113724784955,34,269,0.2205885047804144,True
2025-10-10,1.2127251814941404,34,221,0.1620673281236357,True
2025-10-17,2.367755446999162,34,265,0.2317317044327564,True
2025-10-24,1.240432634746848,34,245,0.1989689978492687,True
2025-10-31,1.030444426293696,34,228,0.183447660222667,True
2025-11-07,1.3293664709209414,34,246,0.18108487057604,True
2025-11-14,1.3170618104212877,34,259,0.1734714523387521,True
2025-11-21,1.1797005286656452,34,278,0.2128192539287858,True
2025-11-28,1.2189151606795197,34,314,0.2621793705189993,True
2025-12-05,1.4099140137613149,34,312,0.2846012183029174,True
2025-12-12,1.0275306575567509,34,300,0.2629921764087263,True
2025-12-19,1.8504339147817843,34,233,0.18263333608931,True
2025-12-29,1.2793101027962512,34,195,0.1238031434781434,True
2026-01-07,1.4513271365226446,34,228,0.129257134556064,True
2026-01-14,1.7806770275712345,34,245,0.1276626607638136,True
2026-01-21,1.645913986022194,34,214,0.1070796450161217,True
2026-01-28,1.7792029933983642,34,243,0.1184232609368403,True
