date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,3.7314257782797743e-93,14,49,,False
2025-02-11,9.818186930595451e-91,14,40,,False
2025-02-18,7.670458539527698e-93,14,37,,False
2025-02-25,1.3086619754287916e-16,14,31,,False
2025-03-05,1.5396023240511968e-17,14,22,,False
2025-03-12,5.0037075530894716e-17,14,29,,False
2025-03-19,8.956998296913641e-93,14,45,,False
2025-03-26,3.835229269763849e-93,14,45,,False
2025-04-02,1.8162921252759167e-91,14,52,,False
2025-04-09,3.398556861712448e-93,14,63,,False
2025-04-16,7.670458539527698e-93,14,63,,False
2025-04-23,7.670458539527698e-93,14,60,,False
2025-04-30,4.7339045972855104e-91,14,71,,False
2025-05-12,3.3071386931751737e-93,14,58,,False
2025-05-19,2.301137561858309e-92,14,39,,False
2025-05-26,1.5396023240335094e-17,14,40,,False
2025-06-02,4.233906391088999e-17,14,42,,False
2025-06-11,4.294163852460845e-73,14,46,,False
2025-06-18,1.1493306834181432e-90,14,44,,False
2025-06-25,8.8527134384669e-17,14,53,,False
2025-07-02,1.3471520334898031e-16,14,59,,False
2025-07-09,2.135618375148384e-92,14,54,,False
2025-07-16,1.9245029057676457e-17,14,48,,False
2025-07-23,0.2658892128184196,14,35,0.1978534367338849,True
2025-07-30,0.4120437850629092,14,30,0.0954993096326573,True
2025-08-06,0.8563218146511924,14,42,0.1878069337664024,True
2025-08-13,0.2553143909487884,14,35,0.170519882349508,True
2025-08-21,3.068183415811079e-92,14,41,0.208801192096359,False
2025-08-28,1.2701719184057328e-16,14,44,0.2544503222329994,False
2025-09-04,0.2742540228974327,14,34,0.122459653412223,True
2025-09-11,1.0787091230179495,14,44,0.1240422713963642,True
2025-09-18,0.4023182056549634,14,32,0.1478183943495478,True
2025-09-25,0.4690102194647348,14,39,0.1800451431971511,True
2025-10-02,0.9515282313128884,14,52,0.2563035582811252,True
2025-10-16,0.565074193623249,14,46,0.2112437222293293,True
2025-10-23,0.6458466930191755,14,41,0.1698511428040202,True
2025-10-30,1.0074226101407708,14,49,0.1931706330688438,True
2025-11-06,0.5798706453824957,14,40,0.1854572510654329,True
2025-11-13,0.9222803363733232,14,51,0.2941406062150505,True
2025-11-20,1.562841669990083,14,62,0.3828283679049017,True
2025-11-27,2.808368394765941,14,75,0.4376815902596195,True
2025-12-04,1.318248011201134,14,63,0.3617048966664133,True
2025-12-11,4.0029659684664976e-16,14,61,0.3282580487414015,False
2025-12-18,-9.67644186123412e-49,14,43,0.2291853403915927,False
2025-12-26,0.4996256064450743,14,49,0.2277528780222411,True
2026-01-06,4.173354239849615e-93,14,35,0.1838464325982274,False
2026-01-13,0.1877571796786702,14,28,0.1423151621076113,True
2026-01-20,0.1617653016527609,14,23,0.0996638999195613,True
2026-01-27,1.9245029050412318e-17,14,23,0.0436321028148257,False
