date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.2884787701077109,4,3,-0.135839871147898,True
2025-02-11,6.00032252656475e-33,4,2,-0.2612866994506485,False
2025-02-18,0.0,4,2,-0.0889747197745444,False
2025-02-25,-5.819283724834553e-61,4,1,-0.1147613837088812,False
2025-03-05,0.0,4,0,0.0,False
2025-03-12,0.0,4,2,0.0524674625814659,False
2025-03-19,0.0,4,2,0.0458241186940073,False
2025-03-26,7.33204637561014e-33,4,2,0.0869577741457592,False
2025-04-02,0.0,4,1,0.152236557609024,False
2025-04-09,0.3853832529290357,4,4,0.2145693453579646,True
2025-04-16,1.9176146348819244e-93,4,3,0.3171971508306251,False
2025-04-23,0.446083083680687,4,4,0.3332389108809347,True
2025-04-30,0.7448429472096406,4,5,0.3032924072873261,True
2025-05-12,0.2211547005309733,4,3,0.2390397264084727,True
2025-05-19,0.2681206822311484,4,3,0.1230600767688576,True
2025-05-26,0.2214372546422583,4,3,0.1729401290255475,True
2025-06-02,0.2474632197309152,4,3,0.1345487482944375,True
2025-06-11,0.3760556158180862,4,4,0.0470918817886259,True
2025-06-18,1.2037062152420224e-34,4,2,0.1531101137221774,False
2025-06-25,-1.1644826058804183e-49,4,2,0.1126505460433816,False
2025-07-02,0.0,4,1,0.1168211964504666,False
2025-07-09,1.602468905319647e-17,4,3,0.2724308728931833,False
2025-07-16,4.807406715958911e-17,4,3,0.202889807711098,False
2025-07-23,0.3015735454714141,4,4,0.1214429032932696,True
2025-07-30,0.0,4,3,0.263843694544589,False
2025-08-06,2.996272867003007e-95,4,3,0.3267949419243218,False
2025-08-13,1.132576234555175e-63,4,1,0.229906006565638,False
2025-08-21,3.068183415811079e-92,4,2,0.2249091861849428,False
2025-08-28,4.794036587204811e-94,4,2,0.1983005359957168,False
2025-09-04,9.922283679041909e-34,4,1,0.0252991200557638,False
2025-09-11,5.502532120747341e-32,4,2,0.1412129884577513,False
2025-09-18,4.9613667715305784e-96,4,2,0.087058168467254,False
2025-09-25,0.1954794580550534,4,3,0.1334354921155108,True
2025-10-02,6.049511437549924e-33,4,2,0.1052692793497599,False
2025-10-16,0.630796838601666,4,4,0.0892824597198954,True
2025-10-23,0.2292874294672269,4,3,0.1303921090317941,True
2025-10-30,0.1658703429308697,4,3,0.1175197155153459,True
2025-11-06,0.3248690159025169,4,4,0.1619002748225492,True
2025-11-13,0.7017642018571264,4,5,0.1393273604019032,True
2025-11-20,0.3069501518298715,4,4,0.3263158808063291,True
2025-11-27,0.2972104073674411,4,4,0.3043394851392908,True
2025-12-04,0.2722668272096359,4,3,0.3433953583806435,True
2025-12-11,0.8542393219921349,4,5,0.3784246951931523,True
2025-12-18,1.6024689053196362e-17,4,2,0.1820490772683273,False
2025-12-26,0.0,4,0,0.0,False
2026-01-06,0.7638643861004738,4,5,0.1690553479624042,True
2026-01-13,0.3458608421791178,4,4,0.2155197094428457,True
2026-01-20,0.85609996761812,4,5,0.1728026115440888,True
2026-01-27,0.7504290635270899,4,5,0.1886141287190902,True
2026-02-03,0.4183097356275728,4,4,0.2943583080123573,True
