date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.7106944591223109,24,147,0.26591245397540875,True
2025-02-11,0.5124014155275054,24,132,0.2194822086479714,True
2025-02-18,0.9087615769222245,24,152,0.2742030794453531,True
2025-02-25,0.319136932278167,24,156,0.3032320382058887,True
2025-03-05,0.2886003249251518,24,145,0.2702122276715411,True
2025-03-12,1.0497327438088109,24,131,0.23467768964509791,True
2025-03-19,1.1160667788324474,24,129,0.20737957012175182,True
2025-03-26,0.9079119900747951,24,123,0.20115188228088382,True
2025-04-02,1.392392020879706,24,171,0.2692916303745705,True
2025-04-09,2.402469173069241,24,195,0.31881594117323175,True
2025-04-16,2.108953872264383,24,203,0.38346660766201063,True
2025-04-23,1.661161040922906,24,192,0.3679770074256214,True
2025-04-30,0.9154392328854661,24,183,0.34965591128219203,True
2025-05-12,1.1264162468221437,24,165,0.2789028499862338,True
2025-05-19,0.9350666849525053,24,103,0.09815818714879404,True
2025-05-26,1.2140490821387546,24,119,0.1726072054274297,True
2025-06-02,1.2142652040226911,24,125,0.15936955552497106,True
2025-06-11,0.7776321845507596,24,113,0.18302400873217345,True
2025-06-18,0.5531700055914974,24,113,0.20965016809807793,True
2025-06-25,1.3168229675124234,24,156,0.20604222681697995,True
2025-07-02,1.555637264039579,24,157,0.23502570503956827,True
2025-07-09,1.3376398170581534,24,165,0.2362799173762306,True
2025-07-16,0.9141148396106661,24,129,0.17598021406538455,True
2025-07-23,0.8040617562276444,24,100,0.11287734045963792,True
2025-07-30,0.7944047767205593,24,99,0.1111067507555272,True
2025-08-06,1.1841810155636812,24,131,0.19594426802083004,True
2025-08-13,1.4558928497001322,24,153,0.2498682093942194,True
2025-08-21,1.3006294037427637,24,170,0.2920889034550978,True
2025-08-28,1.686455906547316,24,167,0.27420942128604414,True
2025-09-04,0.7213487810665856,24,98,0.12489775716622396,True
2025-09-11,0.8504044377826455,24,104,0.10457805954000629,True
2025-09-18,1.1032158304387578,24,100,0.07520783532752544,True
2025-09-25,0.6589550810923932,24,82,0.07645758213695712,True
2025-10-02,1.0823078076910009,24,108,0.11298277151732092,True
2025-10-16,0.9210042534293825,24,123,0.16835925244230743,True
2025-10-23,1.1615502928919117,24,120,0.15429965307128596,True
2025-10-30,0.8180811318518001,24,151,0.20428384160812724,True
2025-11-06,0.65868783827753,24,128,0.17271622208880028,True
2025-11-13,1.317069990251726,24,150,0.2458259675293786,True
2025-11-20,1.1074485879848288,24,158,0.296803083729067,True
2025-11-27,1.5937790534876564,24,160,0.2844537795524152,True
2025-12-04,0.538621498648566,24,159,0.2917968288343177,True
2025-12-11,0.9257887194089527,24,136,0.23234115652691123,True
2025-12-18,0.62179384181904,24,128,0.1793647382585881,True
2025-12-26,0.8843722278587323,24,123,0.1680675221987466,True
2026-01-06,0.27013590311246605,24,95,0.1024321466220998,True
2026-01-13,0.4566759228146325,24,88,0.11464506747100649,True
2026-01-20,0.7639170373960147,24,114,0.15399128023545308,True
2026-01-27,0.46151185153122753,24,122,0.17035989493764797,True
2026-02-03,0.936530539539909,24,138,0.20515017918641487,True
