date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.3877787807814429e-17,5,3,-0.087310525790606,False
2025-02-11,1.919393927767156e-33,5,2,-0.0147942163546354,False
2025-02-18,4.1008277484254355e-80,5,2,0.0501128697137269,False
2025-02-25,7.473434179925861e-50,5,2,0.0393420174403145,False
2025-03-05,6.37211903250279e-63,5,1,0.0587785889186145,False
2025-03-12,8.53442022859036e-64,5,1,0.0689974139760309,False
2025-03-19,-9.657727342606732e-51,5,2,0.0686588064222184,False
2025-03-26,0.1730396074017679,5,5,0.0170768924757143,True
2025-04-02,3.068183415811079e-92,5,3,0.0424678386689137,False
2025-04-09,0.1589577707875891,5,5,0.1126399433954602,True
2025-04-16,0.1675316782006739,5,5,0.1545490318820129,True
2025-04-23,7.191054880807217e-94,5,4,0.250993471025315,False
2025-04-30,0.1666136153042066,5,5,0.2171111368398275,True
2025-05-12,0.4074959630312337,5,6,0.2881513355256847,True
2025-05-19,0.386661447557268,5,5,0.2626915007134894,True
2025-05-26,0.2253712238067314,5,4,0.2267624298664239,True
2025-06-02,1.3877787807814475e-17,5,5,0.2164166811300042,False
2025-06-11,0.1812252628667021,5,4,0.0737534199108106,True
2025-06-18,0.2312172043955611,5,5,0.0593802212576993,True
2025-06-25,0.3877085163544894,5,5,0.1325492964857491,True
2025-07-02,2.397018293602405e-94,5,3,0.086189780780143,False
2025-07-09,0.2172503509731027,5,4,0.2020750095550359,True
2025-07-16,0.1860654457004157,5,4,0.1635822774404497,True
2025-07-23,1.9176146348819244e-93,5,3,0.1727444210310612,False
2025-07-30,-8.844558825946044e-64,5,1,0.0503246197236926,False
2025-08-06,4.840112766665069e-49,5,3,0.1107253865685713,False
2025-08-13,0.3249277011365997,5,6,0.0913369569216975,True
2025-08-21,0.2307803262888664,5,5,0.0942106503531264,True
2025-08-28,0.7711264383926604,5,7,0.1481776537994322,True
2025-09-04,3.2049378106392736e-17,5,3,0.0898758349980803,False
2025-09-11,0.2116164138278325,5,4,0.1966393077352798,True
2025-09-18,2.7755575615629826e-17,5,4,0.1063154407014035,False
2025-09-25,2.775557561562889e-17,5,3,0.1385944722030109,False
2025-10-02,0.0,5,1,0.1258846140496726,False
2025-10-16,-7.073936236871334e-82,5,2,0.1299995687656133,False
2025-10-23,3.812283628336158e-95,5,3,0.1698492906302797,False
2025-10-30,2.7104388233539088e-92,5,3,0.1598282930651351,False
2025-11-06,2.5953831756230707e-96,5,3,0.1637226296973327,False
2025-11-13,0.3022952373186576,5,6,0.2300689643541399,True
2025-11-20,0.3084555187086362,5,5,0.2534978511289015,True
2025-11-27,0.3970957253371157,5,6,0.3109115111363906,True
2025-12-04,5.885177165763938e-32,5,3,0.2070930715104229,False
2025-12-11,1.267182370533228e-48,5,2,0.1158742937920919,False
2025-12-18,3.7091219071991e-77,5,2,0.0817221838878927,False
2025-12-26,2.51658003539629e-32,5,3,0.0630062391148356,False
2026-01-06,0.133467546914444,5,4,0.0620958972028511,True
2026-01-13,4.237762322784709e-63,5,2,0.0318351852191503,False
2026-01-20,3.835229269763849e-93,5,3,-0.0372789450612047,False
