date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,2.408808367760116e-16,60,1014,,False
2025-02-11,1.9218461913057026e-15,60,871,,False
2025-02-18,-1.380632362260562e-15,60,855,,False
2025-02-25,3.601044710550588e-15,60,855,,False
2025-03-05,8.803900018674202e-16,60,807,,False
2025-03-12,5.877966830175286e-15,60,870,,False
2025-03-19,2.0575207194747226e-15,60,777,,False
2025-03-26,2.1873711124388503e-15,60,848,,False
2025-04-02,6.810537343476348e-16,60,833,,False
2025-04-09,1.5468916222672228e-15,60,1175,,False
2025-04-16,1.5778928306283898e-15,60,1433,,False
2025-04-23,6.183571956112249e-16,60,1443,,False
2025-04-30,-2.885558803869803e-16,60,1391,,False
2025-05-12,3.3188336390080413,60,1054,0.2939094168678856,True
2025-05-19,2.924326704216889,60,805,0.1407058559913847,True
2025-05-26,3.5539607681263274,60,810,0.1638850030678285,True
2025-06-02,2.9935658004692614,60,763,0.1504202565655229,True
2025-06-11,2.332993154927525,60,714,0.1438161143624499,True
2025-06-18,1.963906975932784,60,717,0.0922288534274179,True
2025-06-25,2.7334633692918224,60,752,0.0699665115856343,True
2025-07-02,3.169814773164247,60,781,0.0757399141779482,True
2025-07-09,3.425836056071062,60,810,0.1185508686021438,True
2025-07-16,2.397179850334092,60,794,0.14517882560469,True
2025-07-23,2.9668489993958707,60,800,0.1918822376793772,True
2025-07-30,2.2770278076783925,60,785,0.1922073382009815,True
2025-08-06,3.3164778520549576,60,984,0.2451664981266314,True
2025-08-13,2.651763397355111,60,975,0.2498163616353294,True
2025-08-21,3.0264783309764884,60,1010,0.2739516101407659,True
2025-08-28,3.6663663217725584,60,1096,0.3001545266910872,True
2025-09-04,2.522479471002906,60,796,0.2055462574253333,True
2025-09-11,1.7899580232752406,60,796,0.2019875696373024,True
2025-09-18,2.889059049389806,60,635,0.1111611222724912,True
2025-09-25,2.3730672418034127,60,597,0.1150907355210175,True
2025-10-02,2.812877642007656,60,642,0.1535219882769821,True
2025-10-16,3.989772687191397,60,833,0.2227973087648153,True
2025-10-23,0.9346168392066674,60,1026,0.2776053078547538,True
2025-10-30,2.2366634564184533,60,977,0.2578632383973524,True
2025-11-06,2.294880471146822,60,909,0.2238220519788971,True
2025-11-13,2.6095426080425432,60,993,0.2499273793369373,True
2025-11-20,4.111205306593754,60,1001,0.2686472318392378,True
2025-11-27,4.148239711473568,60,1119,0.3080810459890811,True
2025-12-04,2.3543283946523963,60,1086,0.3115628416457066,True
2025-12-11,2.776407591925214,60,962,0.2389551630680178,True
2025-12-18,3.546758745069156,60,891,0.2195943695084108,True
2025-12-26,2.936661136222509,60,870,0.2092635364495466,True
2026-01-06,3.1166199437561337,60,857,0.1994607944613075,True
2026-01-13,3.448004985258805,60,839,0.1999698407156061,True
2026-01-20,2.7223273649530206,60,725,0.1643771868865161,True
2026-01-27,3.629126877233971,60,736,0.1305963473663629,True
2026-02-03,2.558002064531859,60,762,0.1896439381236347,True
2026-02-10,2.2027208656423856,60,979,0.263710889824907,True
