date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.472766213528606,27,142,0.09963639991763347,True
2025-02-11,0.9605786543939513,27,136,0.0825738377887951,True
2025-02-18,1.1108029826575476,27,132,0.08213101290199304,True
2025-02-25,1.5389294255880364,27,152,0.09573712138668017,True
2025-03-05,1.0535242169914558,27,153,0.17897520398576666,True
2025-03-12,1.5214095922570965,27,171,0.23605674844842672,True
2025-03-19,1.6579096898888164,27,177,0.22827634538755162,True
2025-03-26,0.6007441287061956,27,177,0.21687696020601288,True
2025-04-02,1.353019031279523,27,222,0.31647239043657704,True
2025-04-09,3.094663574417375,27,244,0.3321212821284626,True
2025-04-16,2.750470561125146,27,256,0.390367192131038,True
2025-04-23,2.4931076003677206,27,261,0.4026262533907614,True
2025-04-30,1.1586323186824665,27,212,0.25577588036122045,True
2025-05-12,0.8425674254135859,27,155,0.20391197660015212,True
2025-05-19,0.9943061893518297,27,112,0.10720488637377493,True
2025-05-26,0.7358478077051086,27,103,0.0910874478212314,True
2025-06-02,0.8961244515338824,27,127,0.10192212110679245,True
2025-06-11,0.70955474425374,27,157,0.21153023653216027,True
2025-06-18,0.6455001142965437,27,140,0.16371440848756091,True
2025-06-25,0.8433039537624418,27,113,0.13189036058186485,True
2025-07-02,0.7079766610646807,27,130,0.18689941815262953,True
2025-07-09,1.4142685290877899,27,157,0.17886990961226001,True
2025-07-16,2.1007847213747683,27,167,0.17592048299245605,True
2025-07-23,1.564117248498115,27,175,0.20605821192560672,True
2025-07-30,1.3143070636606442,27,150,0.12708546838109672,True
2025-08-06,1.4076551959693226,27,185,0.23138302731375773,True
2025-08-13,1.3811880339927805,27,199,0.27622061726530295,True
2025-08-21,1.0053029320178886,27,211,0.3110484725756468,True
2025-08-28,0.7656717540411773,27,233,0.3658045920883075,True
2025-09-04,1.1244171241403027,27,169,0.17574636044083747,True
2025-09-11,0.2810092655819845,27,170,0.20088042923556063,True
2025-09-18,0.3258677743007141,27,164,0.18875509117382339,True
2025-09-26,0.8378035221192923,27,166,0.16211600912408353,True
2025-10-10,1.3041221670481715,27,181,0.1807380914991533,True
2025-10-17,0.2712255907612561,27,168,0.1856735571073375,True
2025-10-24,1.4362520277638597,27,168,0.18853511464253642,True
2025-10-31,1.2597450077223658,27,171,0.21096169122967465,True
2025-11-07,1.149066225358863,27,166,0.16653747839508304,True
2025-11-14,0.8072831323256429,27,188,0.2496123627120672,True
2025-11-21,1.3735474535121854,27,204,0.287486099712887,True
2025-11-28,1.4887174591795722,27,211,0.30760357367808855,True
2025-12-05,1.4400441353964077,27,227,0.32497617909353,True
2025-12-12,0.8464800942595597,27,181,0.23777012219623414,True
2025-12-19,1.1686160137562043,27,143,0.17862106052131071,True
2025-12-29,0.6101895520924685,27,142,0.16156483364383495,True
2026-01-07,0.6825328904899296,27,160,0.18731706353793867,True
2026-01-14,1.0009574731097068,27,151,0.1756705658146942,True
2026-01-21,1.2330097918186755,27,164,0.19898747127799435,True
2026-01-28,0.549526535971332,27,202,0.29058634233351893,True
