date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.1985091468012028e-94,7,8,0.12018515839931218,False
2025-02-11,1.9505713454006435e-75,7,5,0.06914650094584801,False
2025-02-18,0.2758901590884255,7,10,0.2097997768060102,True
2025-02-25,0.22575102908206465,7,8,0.19736370804140352,True
2025-03-05,0.27947443074398715,7,13,0.2985339786307178,True
2025-03-12,0.3070045446760437,7,14,0.3081353580018754,True
2025-03-19,0.0,7,7,0.21800042718056134,False
2025-03-26,0.3173016821820783,7,12,0.2694548739751073,True
2025-04-02,1.1331166295921612e-17,7,10,0.1305057275898048,False
2025-04-09,0.2523134762278798,7,11,0.24048843166908856,True
2025-04-16,0.6915280302176721,7,14,0.36410287409809544,True
2025-04-23,0.6016654325298938,7,16,0.3821237299055306,True
2025-04-30,0.6305640423774801,7,16,0.36099859212600005,True
2025-05-12,0.3384256559108066,7,12,0.20319447655967057,True
2025-05-19,0.6333499091816308,7,13,0.051402287316256186,True
2025-05-26,0.22713131688629548,7,8,0.08864958412401902,True
2025-06-02,0.22132510761488605,7,8,0.14736835276257068,True
2025-06-11,0.3390150976611802,7,10,0.27492424709807994,True
2025-06-18,0.9892697657402602,7,16,0.346555357461262,True
2025-06-25,1.2625262830236004,7,17,0.3572853932378709,True
2025-07-02,1.831011388464712,7,20,0.4224825772570121,True
2025-07-09,0.6225407805035347,7,16,0.39500140963560454,True
2025-07-16,0.32394270219143817,7,14,0.37362093865360313,True
2025-07-23,0.37054552176039895,7,15,0.4057385688307405,True
2025-07-30,0.40960385858936604,7,15,0.4412501551033183,True
2025-08-06,1.6528543324185465,7,19,0.4558421979371697,True
2025-08-13,2.3392799953807475,7,20,0.5122717526881916,True
2025-08-21,2.3205014302180005,7,21,0.4768992887212927,True
2025-08-28,0.9155460689508356,7,17,0.3534267442786076,True
2025-09-04,7.670458539527698e-93,7,5,0.13201445840743403,False
2025-09-11,7.670458539527698e-93,7,9,0.1886002400423846,False
2025-09-18,0.34492686698564656,7,10,0.21679444663949418,True
2025-09-25,0.5346804257134292,7,11,0.19881854973355942,True
2025-10-02,0.35915912415335177,7,11,0.13058984003231555,True
2025-10-16,0.24360204741137073,7,9,0.04145713533573128,True
2025-10-23,0.33934991394514374,7,11,0.11311133442356468,True
2025-10-30,0.27214696071073374,7,10,0.19267266847032188,True
2025-11-06,0.7501166841053425,7,13,0.2681535520023905,True
2025-11-13,0.6773498889689377,7,17,0.4461194828640765,True
2025-11-20,1.1485894357609345,7,18,0.46099842785043244,True
2025-11-27,1.4468019629041107,7,19,0.502562775914331,True
2025-12-04,3.428482442610237,7,21,0.5895820431415522,True
2025-12-11,1.4190828837557699,7,18,0.341829907815418,True
2025-12-18,0.3980705773966594,7,13,0.27406618648629694,True
2025-12-26,0.26187905259654587,7,10,0.20185395457603883,True
2026-01-06,0.26438512781016604,7,11,0.20852239446641024,True
2026-01-13,0.5212664876062271,7,12,0.18038219548813986,True
2026-01-20,5.121369809352761e-82,7,4,0.13390090976307314,False
2026-01-27,2.2662332591842043e-17,7,7,0.18689215707107418,False
2026-02-03,2.8764219523228867e-93,7,12,0.35496714077433983,False
2026-02-10,2.006536987169834,7,20,0.44686561112189915,True
