date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,2.50971122327322e-93,14,45,0.1524818805898878,False
2025-02-11,0.2397586338848255,14,47,0.1593163137386914,True
2025-02-18,0.1443417527961808,14,49,0.2063148827298106,True
2025-02-25,0.1272199772682709,14,49,0.2145014817368666,True
2025-03-05,0.7900267447199885,14,52,0.2649735835189724,True
2025-03-12,0.4537428533307093,14,50,0.2904083940990783,True
2025-03-19,0.4750490703258347,14,50,0.2216909021975086,True
2025-03-26,0.5047571064164451,14,55,0.2421468626627673,True
2025-04-02,0.2498425668118744,14,46,0.2481418650077353,True
2025-04-09,1.5128393451552626,14,59,0.3387082131171672,True
2025-04-16,0.6460414250031737,14,68,0.3694004760214336,True
2025-04-23,0.6360968484466901,14,52,0.2989187228643248,True
2025-04-30,0.9438057856295892,14,51,0.2656123636933555,True
2025-05-12,2.3094034874813278e-17,14,41,0.1890674937085074,False
2025-05-19,0.2403479265328895,14,40,0.1840604733598981,True
2025-05-26,7.69801156637922e-18,14,47,0.2075129821521861,False
2025-06-02,0.2364145870461343,14,39,0.1425689926719953,True
2025-06-11,0.5892003162634305,14,39,0.1723707977410102,True
2025-06-18,1.1088513379944505,14,49,0.2283615543038802,True
2025-06-25,0.6963481099976324,14,66,0.3186412247054973,True
2025-07-02,1.157698573154612,14,67,0.3898705344014024,True
2025-07-09,1.567297413321536,14,70,0.4613081206818133,True
2025-07-16,0.9469623677845534,14,54,0.3329939842945524,True
2025-07-23,0.283594926381614,14,47,0.2641029843108931,True
2025-07-30,0.4077770709836224,14,48,0.2691398852738545,True
2025-08-06,0.5084892146603799,14,45,0.2566767076915642,True
2025-08-13,0.1909250949670238,14,49,0.2765727022944646,True
2025-08-21,0.2496167863619612,14,47,0.2810944346073036,True
2025-08-28,3.068183415811079e-92,14,49,0.2338750360247358,False
2025-09-04,1.5340917079055395e-92,14,27,0.1104191900017687,False
2025-09-11,0.5743165109671498,14,44,0.2223347994519471,True
2025-09-18,0.2142872486031453,14,43,0.2030435338968808,True
2025-09-25,0.6443459397932542,14,43,0.1992690135400362,True
2025-10-02,1.5780923821303198e-16,14,41,0.2093624352877158,False
2025-10-16,0.4578204704386158,14,46,0.1456417433774603,True
2025-10-23,0.5138751044280885,14,37,0.0986672754570498,True
2025-10-30,2.981024832278476e-93,14,35,0.1614233562231237,False
2025-11-06,0.4225345301280327,14,40,0.1325561325967274,True
2025-11-13,0.5845736902485996,14,51,0.2493123068053555,True
2025-11-20,4.794036587204811e-93,14,60,0.3325547589844725,False
2025-11-27,0.5979505440975892,14,55,0.2870697954523882,True
2025-12-04,0.4130190659181733,14,51,0.3018189193150627,True
2025-12-11,0.2652618307710661,14,51,0.3093578400188757,True
2025-12-18,7.313111039130262e-17,14,44,0.2187316184755807,False
2025-12-26,0.3749014273215068,14,42,0.2103906859329686,True
2026-01-06,0.3049965788571539,14,34,0.169534696431028,True
2026-01-13,4.618806972100094e-17,14,31,0.0929204463010001,False
2026-01-20,0.3597075620254485,14,35,0.0766223905477027,True
