date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.3696607473509397,6,8,0.2032468757555569,True
2025-02-11,0.2854027523838017,6,6,0.1960063780681786,True
2025-02-18,1.2597910663982803,6,12,0.3784593938855737,True
2025-02-25,0.9170249501509784,6,11,0.3798026897494454,True
2025-03-05,0.9193037052816684,6,11,0.3694671884569022,True
2025-03-12,0.8252155276234198,6,12,0.325815528805278,True
2025-03-19,0.5390683512126995,6,9,0.1361276904446415,True
2025-03-26,0.337406202524071,6,11,0.2993889048182273,True
2025-04-02,4.8221974031115176e-30,6,10,0.3946882270213462,False
2025-04-09,2.868837842904991,6,15,0.6136975455651164,True
2025-04-16,3.4185302052462214,6,15,0.6899435243905098,True
2025-04-23,3.4677404657979625,6,15,0.6869825304154505,True
2025-04-30,2.770839776466271,6,15,0.6077157252446448,True
2025-05-12,0.2856399825794093,6,8,0.3453145083796278,True
2025-05-19,1.5340917079055395e-92,6,4,0.0555496440098212,False
2025-05-26,0.2395455067691312,6,6,0.0565955428318619,True
2025-06-02,0.0794603537521425,6,5,0.1196804513437631,True
2025-06-11,0.2355970395342203,6,8,0.2889112894924443,True
2025-06-18,0.9107717238555644,6,11,0.3342587727717721,True
2025-06-25,1.296089126684059,6,12,0.3945250363177877,True
2025-07-02,1.7494062866233264,6,14,0.4475024708073408,True
2025-07-09,2.2986144949020337,6,15,0.4820784701126618,True
2025-07-16,1.461330282765723,6,13,0.5049228975445658,True
2025-07-23,1.680352958441175,6,14,0.5331612422594793,True
2025-07-30,1.9135054380432432,6,14,0.5426362550960117,True
2025-08-06,1.3903859571417174,6,13,0.478055628412838,True
2025-08-13,1.959428996162636,6,14,0.5363703315640419,True
2025-08-21,1.779699432967569,6,14,0.4892429109905657,True
2025-08-28,1.7178666161378584,6,14,0.4845084313348696,True
2025-09-04,0.6723817844155227,6,11,0.3515713389643823,True
2025-09-11,0.9468883157949528,6,12,0.3678404503042455,True
2025-09-18,0.5453141290027435,6,10,0.3158885621732476,True
2025-09-25,1.0253121292164111,6,11,0.3621916818687877,True
2025-10-02,0.6895110831947022,6,10,0.3467724504981764,True
2025-10-16,0.877455566412623,6,11,0.3661332383511813,True
2025-10-23,1.6318449651025535,6,14,0.4263188903961488,True
2025-10-30,1.6053185708323654,6,14,0.4385659833252601,True
2025-11-06,1.795579897170951,6,14,0.5003667577483577,True
2025-11-13,2.609991156080621,6,15,0.5493545400161619,True
2025-11-20,2.792989955969762,6,15,0.5652064285343203,True
2025-11-27,3.02673564932123,6,15,0.6273659369994365,True
2025-12-04,2.9290164326652874,6,15,0.5870148154729674,True
2025-12-11,2.8364260745409022,6,15,0.5178783472723452,True
2025-12-18,3.723801229870897e-17,6,9,0.2445224218381783,False
2025-12-26,0.2628564597689238,6,8,0.2307242241247924,True
2026-01-06,2.4825341532473102e-17,6,5,0.1886142512156947,False
2026-01-13,0.5036076632070312,6,9,0.2281968976401089,True
2026-01-20,0.3993025402290691,6,8,0.2863873538279949,True
