date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.2876774574939587,9,21,0.2491738837624029,True
2025-02-11,0.2278379564521893,9,21,0.2607178067714917,True
2025-02-18,1.5340917079055395e-92,9,19,0.2829116318001097,False
2025-02-25,7.960987826086249e-80,9,15,0.2421076265749434,False
2025-03-05,1.77784217318402e-77,9,14,0.2473988117667193,False
2025-03-12,1.5700924586838319e-16,9,18,0.3114686641022904,False
2025-03-19,0.3485554596257721,9,17,0.3136702080462277,True
2025-03-26,0.5721673216594507,9,20,0.3011546783885209,True
2025-04-02,0.6529757627565111,9,20,0.2901248835679528,True
2025-04-09,2.919776198686015,9,34,0.5049286949401173,True
2025-04-16,3.0447252624841443,9,35,0.545972523570409,True
2025-04-23,3.780787506133004,9,35,0.591985928350566,True
2025-04-30,2.3593949738344238,9,33,0.5874123129201565,True
2025-05-12,0.3747503823099829,9,23,0.3258273438344172,True
2025-05-19,0.2572424898855467,9,18,0.2447606463764672,True
2025-05-26,8.034842853830006e-94,9,14,0.1664995155113671,False
2025-06-02,7.670458539527698e-93,9,16,0.1991748774633956,False
2025-06-11,5.607475739459067e-94,9,14,0.2108131982333471,False
2025-06-18,0.5829648629456999,9,19,0.2534220060395095,True
2025-06-25,1.0140472516199417,9,27,0.349186640670864,True
2025-07-02,0.5775476314995976,9,26,0.3576854260479728,True
2025-07-09,1.0794385653257574e-16,9,25,0.374210892052345,False
2025-07-16,6.869154506725158e-17,9,22,0.3194155722648493,False
2025-07-23,0.2776017339213072,9,23,0.2558559105709098,True
2025-07-30,0.2531453729309813,9,23,0.3564885756595759,True
2025-08-06,1.5699903984938597,9,29,0.4038892573888968,True
2025-08-13,1.6513894230280957,9,30,0.4108142525825456,True
2025-08-21,0.3251968996725779,9,24,0.3347103119272345,True
2025-08-28,0.3431285250580236,9,20,0.2787419295677724,True
2025-09-04,0.4679083086395196,9,18,0.1288991948634226,True
2025-09-11,0.3968329689800153,9,17,0.1883769339264439,True
2025-09-18,0.618916165385974,9,19,0.3132392847164284,True
2025-09-25,1.418627340803112,9,27,0.3986784057166208,True
2025-10-02,1.6888663652184222e-75,9,16,0.2612394212391805,False
2025-10-16,1.4010570437991352,9,29,0.4293784788111088,True
2025-10-23,0.2076901529718692,9,20,0.320543796160863,True
2025-10-30,0.4232253556277246,9,23,0.2405884937433956,True
2025-11-06,0.2673328014179236,9,22,0.3297315250470938,True
2025-11-13,0.2585025538603371,9,23,0.3616512708146377,True
2025-11-20,0.3211812226041223,9,22,0.3187862237951324,True
2025-11-27,0.7565360166671364,9,23,0.3490508818217774,True
2025-12-04,0.3291438446325966,9,20,0.2920645146035994,True
2025-12-11,0.7074970716251079,9,21,0.2521812222814092,True
2025-12-18,0.925646192847675,9,25,0.2863678811206447,True
2025-12-26,0.4855993542317756,9,23,0.3266046258082298,True
2026-01-06,0.2204291832986656,9,19,0.29521778732677,True
2026-01-13,0.2811547036428555,9,18,0.2560366620519042,True
2026-01-20,0.5515879725202825,9,21,0.2927338979426719,True
