date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,3.1950021374320805,43,514,0.2686471550031574,True
2025-02-11,2.2295467799855446,43,448,0.2209759872948812,True
2025-02-18,1.9584709335632275,43,462,0.2389468913694855,True
2025-02-25,1.7619432899531915,43,402,0.1894681769106267,True
2025-03-05,2.2762393856306287,43,348,0.1476898416461195,True
2025-03-12,2.155546862822084,43,344,0.1285347862137957,True
2025-03-19,1.811309673714378,43,316,0.1003804044768914,True
2025-03-26,1.3644184951445484,43,305,0.1258535651304521,True
2025-04-02,1.4383892508718314,43,376,0.1896211563421952,True
2025-04-09,1.5123756673708812,43,535,0.2900033445148741,True
2025-04-16,2.7024757645112234,43,667,0.3972965104486403,True
2025-04-23,2.4520623380243083,43,681,0.4173673529134016,True
2025-04-30,2.545677891409739,43,640,0.3886349196574315,True
2025-05-12,1.7706455311145892,43,480,0.2535933821177941,True
2025-05-19,1.7103730711131917,43,300,0.1016769773917042,True
2025-05-26,2.080479923802233,43,386,0.1433709264201285,True
2025-06-02,1.4856130571265085,43,356,0.1154835943868823,True
2025-06-11,1.3267286210412843,43,341,0.1194822047135194,True
2025-06-18,2.207299319471133,43,419,0.1733668474480389,True
2025-06-25,1.9631767260674973,43,397,0.1662736490980028,True
2025-07-02,1.5230715638337,43,384,0.1688078916375334,True
2025-07-09,1.6694647653969161,44,444,0.2109304613066973,True
2025-07-16,1.5408407591823177,44,412,0.19374807365095054,True
2025-07-23,1.8040593153250417,44,443,0.19446910494554334,True
2025-07-30,1.0596132713394868,44,433,0.2059601819019821,True
2025-08-06,2.101066480315809,44,532,0.2629876231314175,True
2025-08-13,1.5539054075017569,44,551,0.26580573104993965,True
2025-08-21,3.4277867714986154,44,504,0.2408860614374316,True
2025-08-28,3.1121018689904156,44,473,0.22933717128469192,True
2025-09-04,2.4045565796177835,44,365,0.16034243686129068,True
2025-09-11,1.3612301926678227,44,360,0.15597108602448925,True
2025-09-18,0.6954976711858004,44,303,,False
2025-09-25,1.4741739704753418,44,310,,False
2025-10-02,2.3259212618872396,44,331,0.11538074008304383,True
2025-10-16,1.830883976050656,44,349,0.12926801553331785,True
2025-10-23,2.0176243079470155,44,382,0.14607356195229582,True
2025-10-30,0.9579922407143892,44,431,0.18475400276029996,True
2025-11-06,1.4839906296049095,44,452,0.17916994262904393,True
2025-11-13,1.6137538265833793,44,505,0.26115193201373543,True
2025-11-20,1.1762464557126993,44,555,0.30661590304212283,True
2025-11-27,1.801099209518299,44,576,0.3246967089984711,True
2025-12-04,2.6332795291990836,44,600,0.3179651705858846,True
2025-12-11,1.476561860924913,44,507,0.2579942842449813,True
2025-12-18,2.023503839455725,44,431,0.18920826010767638,True
2025-12-26,2.6031302532933607,44,402,0.1664956593195454,True
2026-01-06,2.4187935067593473,44,378,0.14420911302561024,True
2026-01-13,1.9294524859738058,44,348,0.11504705496667057,True
2026-01-20,1.4202811879573658,44,393,0.15392135199654586,True
2026-01-27,2.176723784540734,44,543,0.27276094352270547,True
