date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.2833472249347322,17,49,0.10755665335704435,True
2025-02-11,0.44777315352002456,17,56,0.12992606934318304,True
2025-02-18,0.29761853491498813,17,56,0.12277948700282729,True
2025-02-25,0.6587925065036656,17,59,0.2290487966450983,True
2025-03-05,0.8828460462943144,17,67,0.25573611631599025,True
2025-03-12,0.9046287945823721,17,67,0.22691730036720031,True
2025-03-19,0.8663320777138875,17,68,0.2349523122898675,True
2025-03-26,0.77886388992281,17,56,0.09038915231347541,True
2025-04-02,0.38302640915431624,17,59,0.1897643492089492,True
2025-04-09,0.2926938945532222,17,95,0.36137788301785356,True
2025-04-16,3.784445715455191,17,119,0.4849051832379575,True
2025-04-23,4.099438127412409,17,118,0.4972339178808727,True
2025-04-30,1.0382942590193964,17,112,0.46069401741692284,True
2025-05-12,0.5114703391769038,17,65,0.23140005052654763,True
2025-05-19,0.4193899658278531,17,49,0.14300887536336823,True
2025-05-26,0.3089941993886487,17,43,0.08627180806012688,True
2025-06-02,0.6255279061980634,17,48,0.07608492499021005,True
2025-06-11,0.4943479739690726,17,51,0.15976501330809006,True
2025-06-18,0.0,17,55,0.15780267060558587,False
2025-06-25,0.5975545737054623,17,69,0.2158616249034336,True
2025-07-02,0.3070811045642574,17,76,0.2579478462818876,True
2025-07-09,0.5674062155197203,17,63,0.2027876437283466,True
2025-07-16,0.756111883777204,17,62,0.20301764511880638,True
2025-07-23,0.6425310800131374,17,51,0.16846343477082706,True
2025-07-30,0.8428196999614198,17,55,0.12160364750266715,True
2025-08-06,0.368448555881643,17,86,0.3256852123734165,True
2025-08-13,0.6456130669753296,17,93,0.32835979126437975,True
2025-08-21,0.8271465174970478,17,69,0.26237030283679286,True
2025-08-28,0.5804866928632734,17,75,0.2746823386985668,True
2025-09-04,0.2948029212617702,17,52,0.13644681847991638,True
2025-09-11,0.22762008131417302,17,35,0.07704687023608188,True
2025-09-18,0.28129044996260655,17,52,0.13840148122008375,True
2025-09-25,0.6490955323046181,17,57,0.13161128431971886,True
2025-10-02,0.33279471371977687,17,58,0.14962418827417234,True
2025-10-16,0.8130266615762864,17,54,0.14051864720612267,True
2025-10-23,0.24564144644053365,17,51,0.10720423575522757,True
2025-10-30,0.5544551213341896,17,56,0.13645542768778832,True
2025-11-06,0.20940851654537576,17,46,0.11710102207141583,True
2025-11-13,0.3956324219558119,17,54,0.15148704909533492,True
2025-11-20,0.2544867400471892,17,61,0.21042419400586318,True
2025-11-27,0.7931648209731595,17,69,0.2589347099119099,True
2025-12-04,0.9437811077909161,17,70,0.29117837956349035,True
2025-12-11,1.0484426038656482,17,85,0.2999819895620815,True
2025-12-18,0.24155818146092814,17,58,0.1882495147451421,True
2025-12-26,0.17486944433023238,17,46,0.13641523241868292,True
2026-01-06,0.6339566199996737,17,52,0.11685483175985818,True
2026-01-13,0.6706782112224609,17,56,0.12365879278058743,True
2026-01-20,0.6261744584498962,17,63,0.1471304449522328,True
2026-01-27,0.5973000056263141,17,62,0.13366521251100483,True
