date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.5303469201397581,9,33,0.4506217145422016,True
2025-02-11,1.0770493339872023,9,27,0.38326386863722983,True
2025-02-18,0.1544179646924261,9,19,0.3231783383856837,True
2025-02-25,-4.534662725436949e-48,9,20,0.32974700332706713,False
2025-03-05,9.731610371405118e-63,9,20,0.3725348154261446,False
2025-03-12,1.9932180870831957e-16,9,22,0.453824061630546,False
2025-03-19,0.5820055897714497,9,25,0.43852975505143754,True
2025-03-26,0.24072327351136505,9,21,0.34958054321984944,True
2025-04-02,1.5340917079055395e-92,9,21,0.40992327449270966,False
2025-04-09,3.0906159232540618,9,35,0.5996306077639764,True
2025-04-16,1.2352665231128792,9,28,0.48803826677141277,True
2025-04-23,1.1160231051468796,9,27,0.47327120511357657,True
2025-04-30,1.413887575125707,9,29,0.5118514625734348,True
2025-05-12,0.43177277632373806,9,20,0.3407746304809875,True
2025-05-19,0.6362421569588512,9,25,0.38069675686989624,True
2025-05-26,0.7465610714253706,9,30,0.41520021205189134,True
2025-06-02,3.925231147961328e-17,9,27,0.42779552174046764,False
2025-06-11,2.522921415188818,9,34,0.5231010806081674,True
2025-06-18,1.4776380219036516,9,29,0.464268658846253,True
2025-06-25,2.289294398320226,9,32,0.49136556142828464,True
2025-07-02,2.0757327005571793,9,30,0.4621457245233,True
2025-07-09,1.3810226823497127,9,27,0.4159649964629334,True
2025-07-16,0.8072825210555286,9,27,0.4150028574407649,True
2025-07-23,1.3787870724991673,9,26,0.23785871866382446,True
2025-07-30,0.5947738634769372,9,21,0.2881676326101197,True
2025-08-06,1.1189435454231407,9,29,0.42404453909784273,True
2025-08-13,1.7987491806568503,9,30,0.4057837496988445,True
2025-08-21,1.933757155018524,9,33,0.47392731985296305,True
2025-08-28,1.4832582308715863,9,31,0.5026166604799882,True
2025-09-04,0.5773734640351634,9,25,0.323411681706542,True
2025-09-11,0.3949744832877955,9,26,0.3771427557805625,True
2025-09-18,0.274935014523094,9,20,0.24825648330934394,True
2025-09-25,4.459853106622487e-50,9,18,0.2468161061069892,False
2025-10-02,0.5838443688907237,9,19,0.2291796075796049,True
2025-10-16,1.012867997577681,9,24,0.2766469181403905,True
2025-10-23,0.7759854550951244,9,21,0.3080168507371164,True
2025-10-30,0.6407612804650603,9,19,0.3173949668145508,True
2025-11-06,0.38938234944207134,9,16,0.21209818203490835,True
2025-11-13,1.0318913673086387,9,22,0.2955978162332882,True
2025-11-20,1.0381391512945823,9,22,0.3352907898483444,True
2025-11-27,1.1938517174869503,9,26,0.3603224526728083,True
2025-12-04,1.3252782244719947,9,31,0.5045527306597556,True
2025-12-11,1.2308942615697023,9,30,0.4412345310718553,True
2025-12-18,0.7058865779169132,9,25,0.31732598237693943,True
2025-12-26,0.3229580013237816,9,24,0.33903082059857786,True
2026-01-06,2.9439233600320706e-17,9,13,0.24901822696439313,False
2026-01-13,0.341490648522446,9,18,0.32245026085670503,True
2026-01-20,0.35067510669336965,9,21,0.33851904400152694,True
2026-01-27,2.0077204168738976,9,34,0.4672778421377356,True
2026-02-03,1.0788960846824278,9,30,0.4552336718138777,True
2026-02-10,0.4418690607790002,9,18,0.27861008857977176,True
