date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.6749906707551303,33,278,0.2150805828833651,True
2025-02-11,0.8055587628000919,33,255,0.1925581628758085,True
2025-02-18,1.541421647198508,33,254,0.1584743595422526,True
2025-02-25,1.210065658126621,33,257,0.1656779811346633,True
2025-03-05,1.139786563682893,33,185,0.1525771586836547,True
2025-03-12,1.439349886590512,33,202,0.1355927770120364,True
2025-03-19,1.2606166208591132,33,225,0.1532988781531845,True
2025-03-25,1.1515203574852475,34,233,0.1449499720074862,True
2025-03-26,0.9323051606172892,33,221,0.1486124864299996,True
2025-04-01,1.121589651529839,34,266,0.2101941809950563,True
2025-04-02,1.6613706303338962,33,250,0.213196309015359,True
2025-04-08,1.4645569102218567,34,375,0.3056473766298159,True
2025-04-09,0.3590808627500351,33,343,0.3204740648765921,True
2025-04-15,1.2651087182282357,34,455,0.4626675103328188,True
2025-04-16,0.809973021664188,33,408,0.4709555792430226,True
2025-04-22,1.5977476118137253,34,441,0.4806191173842807,True
2025-04-23,1.3151101083768058,33,413,0.4914385005855565,True
2025-04-29,0.8919484486891905,34,399,0.4099794057715213,True
2025-04-30,0.8702124823736037,33,379,0.4197024975319112,True
2025-05-09,1.2326881028618133,34,373,0.335975073769754,True
2025-05-12,0.950452860747095,33,351,0.3265883751092406,True
2025-05-16,1.172102672135324,34,213,0.1214285954412745,True
2025-05-19,1.0921485460871712,33,201,0.1108169961098594,True
2025-05-23,0.5928684021980324,34,208,0.095043611172887,True
2025-05-26,0.9494175090310852,33,184,0.0660010468801975,True
2025-05-30,0.778298400465271,34,198,0.1080640114147677,True
2025-06-02,1.172654473734676,33,195,0.0916483067334039,True
2025-06-10,1.5976988796362148,34,264,0.1605680135638123,True
2025-06-11,1.5997249531250393,33,244,0.1508459736181394,True
2025-06-17,1.8919845266277693,34,281,0.1878869729460452,True
2025-06-18,0.9338321627100106,33,252,0.1673687302562264,True
2025-06-24,1.831761811582692,34,251,0.1576462986410834,True
2025-06-25,1.4449644664391372,33,222,0.1475493058274419,True
2025-07-01,1.892554661420578,34,262,0.1744836113360746,True
2025-07-02,1.435181901551745,33,237,0.1686552533473452,True
2025-07-08,1.3974366697204177,34,248,0.1653713118953024,True
2025-07-09,1.1735493226198666,33,233,0.1687642387809538,True
2025-07-15,0.6455440218553995,34,239,0.1500547647982117,True
2025-07-16,1.0900727847408935,33,237,0.1685645764569166,True
2025-07-22,0.8576664990921116,34,240,0.1747974947025049,True
2025-07-23,1.0919105380902558,33,216,0.1679742478096528,True
2025-07-29,1.6414127192798629,34,220,0.1281390925504976,True
2025-07-30,1.301690198528999,33,200,0.1326953450937807,True
2025-08-05,1.854366767128208,34,319,0.2433457077013874,True
2025-08-06,2.014120132409161,33,301,0.2417985899050697,True
2025-08-12,2.912756336470051,34,317,0.2352010594404865,True
2025-08-13,2.766693249371783,33,291,0.2225996605894886,True
2025-08-20,2.303415996255091,34,301,0.2064617741521646,True
2025-08-21,1.2928391398366823,33,269,0.1971440963378905,True
2025-08-27,1.747211077599406,34,311,0.2104188484779124,True
2025-08-28,1.729876142995361,33,264,0.1888800787010291,True
2025-09-03,1.5535487984183618,34,201,0.0970167855293494,True
2025-09-04,1.5859260746777712,33,186,0.0862056318882474,True
2025-09-10,1.1522023547946203,34,194,0.1132532924264258,True
2025-09-11,0.7363841238767671,33,178,0.1066178298080879,True
2025-09-17,1.4308393532056936,34,198,0.1148232466651735,True
2025-09-18,1.4633298992865915,33,185,0.1237703133897427,True
2025-09-24,1.3463854032448916,34,214,0.1560097761010221,True
2025-09-25,1.7400586802933466,33,221,0.1633783913111063,True
2025-10-01,1.9385981959470715,34,275,0.2014867215027437,True
2025-10-02,1.886608786148732,33,255,0.1952396438258054,True
2025-10-15,1.657408003540063,34,263,0.1822801855283321,True
2025-10-16,1.8434493534987884,33,231,0.1764621575635135,True
2025-10-22,1.4700355652605186,34,281,0.2230051566922714,True
2025-10-23,1.759366698006766,33,262,0.2116591783368334,True
2025-10-29,1.4154189677353142,34,269,0.1914576170258948,True
2025-10-30,1.832460851925524,33,268,0.2094672163982014,True
2025-11-05,1.9005487937494,34,265,0.1899693727910397,True
2025-11-06,1.7926195382196115,33,223,0.1678435446452005,True
2025-11-12,2.2569011267854906,34,301,0.252161536323042,True
2025-11-13,2.193474200297868,33,285,0.2505724196787394,True
2025-11-19,2.217114635827308,34,330,0.2734167686419048,True
2025-11-20,1.856562620311757,33,308,0.2818391493870142,True
2025-11-26,1.5280264152124692,34,338,0.3037188616120936,True
2025-11-27,1.1942265492244974,33,290,0.2791811353845702,True
2025-12-03,2.0273527578355264,34,356,0.3083479568019481,True
2025-12-10,1.0968423204295488,34,261,0.2120142593720585,True
2025-12-17,1.661574281034098,34,214,0.1511532463950698,True
2025-12-24,1.6142198781286397,34,202,0.1064750490069482,True
2026-01-05,1.55311688007837,34,195,0.0765238676965492,True
2026-01-12,1.4174731388292028,34,203,0.0881449047650777,True
2026-01-19,1.3665433528324205,34,182,0.0730535119338091,True
2026-01-26,1.339829763006405,34,179,0.070607403298616,True
2026-02-02,1.4120902801812012,34,207,0.1189120122574016,True
2026-02-09,1.782091305933422,34,280,0.2161677128979945,True
