date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.5575821006082281,4,4,0.3852096381791856,True
2025-02-11,0.3592446785507487,4,4,0.27620510241162194,True
2025-02-18,0.7062073838342005,4,5,0.3471711302935845,True
2025-02-25,1.2344569516298385,4,6,0.3437912908092886,True
2025-03-05,1.4591362149353058,4,6,0.42810914942419037,True
2025-03-12,1.7735861097980075,4,6,0.5177298548852959,True
2025-03-19,1.3420146024903552,4,6,0.4249551298083493,True
2025-03-26,1.4344039830809945,4,6,0.4565899162703208,True
2025-04-02,1.7841425832066127,4,6,0.49942778916579544,True
2025-04-09,2.294516503683223,4,6,0.6422892466396292,True
2025-04-16,2.9555145172250934,4,6,0.7841662068127216,True
2025-04-23,3.110596763301558,4,6,0.7992237104127339,True
2025-04-30,3.054608015649179,4,6,0.7929027411537706,True
2025-05-12,2.1064115453799577,4,6,0.629400825156964,True
2025-05-19,0.42343562530513884,4,4,0.3176421638903416,True
2025-05-26,0.4678474130147512,4,4,0.31887737297734003,True
2025-06-02,3.2049378106392854e-17,4,3,0.3997286568928175,False
2025-06-11,0.36698189715748575,4,4,0.46270547502592213,True
2025-06-18,2.4545467326488633e-91,4,2,0.2654329902148804,False
2025-06-25,0.0,4,2,0.2394269742712369,False
2025-07-02,0.2455302401397163,4,3,0.32223339493030206,True
2025-07-09,0.5882878913353111,4,4,0.323472085558195,True
2025-07-16,0.5231258150082015,4,4,0.39144722708165774,True
2025-07-23,1.0513869663857538,4,5,0.4813999734469847,True
2025-07-30,0.7771649271393272,4,4,0.41354370342078245,True
2025-08-06,0.9661420678099033,4,5,0.44838944549594856,True
2025-08-13,1.5939525428984858,4,6,0.5012840481204526,True
2025-08-21,1.956227481616644,4,6,0.574080617692457,True
2025-08-28,1.6274495724233322,4,6,0.5186280929050671,True
2025-09-04,0.5101721618628562,4,4,0.34593098647986426,True
2025-09-11,0.4900056596757803,4,4,0.3183816521064568,True
2025-09-18,0.24541957705515124,4,3,0.28983106144927534,True
2025-09-25,0.8361748390603522,4,5,0.27401506999763126,True
2025-10-02,0.4299210410855583,4,4,0.2831350594166542,True
2025-10-16,0.3739077013708453,4,4,0.1548495307255802,True
2025-10-23,0.3416797277715131,4,3,0.25719749439601786,True
2025-10-30,0.3158404566651953,4,3,0.24021402768320962,True
2025-11-06,0.5194284793916082,4,4,0.3141545247721337,True
2025-11-13,1.9061539712981852,4,6,0.582490500419135,True
2025-11-20,2.211984021088,4,6,0.6188960438073688,True
2025-11-27,2.0568821034496345,4,6,0.6016248513772872,True
2025-12-04,1.8987262166305905,4,6,0.5701104780738415,True
2025-12-11,0.7563035733281245,4,5,0.3184979498577371,True
2025-12-18,0.765579189057,4,5,0.3075403949242487,True
2025-12-26,0.9127772621098614,4,5,0.39106891941576416,True
2026-01-06,1.1369461759244213,4,5,0.4786925717158412,True
2026-01-13,1.1066201462933831,4,5,0.49242098698112263,True
2026-01-20,1.2925097373549737,4,6,0.4534318599347477,True
2026-01-27,0.3413233123333869,4,3,0.34209430838961236,True
2026-02-03,0.9293935585198403,4,5,0.4429370602626235,True
2026-02-10,1.4270956994237944,4,6,0.4907059084829153,True
