date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,4.649912290826852,96,2853,0.3235359348820949,True
2025-02-11,3.491199469972976,96,2737,0.2837174621728247,True
2025-02-18,4.627270163255645,96,2738,0.2795803934868459,True
2025-02-25,3.90271065895346,96,2665,0.2667475575078228,True
2025-03-05,5.011607792735586,96,2363,0.2307011272881287,True
2025-03-12,3.743615624730353,96,2411,0.2344347712710403,True
2025-03-19,3.6013599305776247,96,2360,0.2268095722540906,True
2025-03-26,4.5694776392344005,96,2400,0.23787109885244,True
2025-04-02,4.097373463580129,96,2593,0.2739556495992848,True
2025-04-09,4.853341620391731,96,3360,0.3878424916056562,True
2025-04-16,4.444631240419993,96,3774,0.4869892266207624,True
2025-04-23,4.071526920868815,96,3789,0.4961237468838763,True
2025-04-30,6.157081820258527,96,3659,0.4572332534548116,True
2025-05-12,4.896672623126386,96,2694,0.2984995018338807,True
2025-05-19,4.055857931786408,96,1697,0.1434293305918856,True
2025-05-26,3.741461118435064,96,1979,0.1795925160298885,True
2025-06-02,4.968895373578879,96,1985,0.1720058669158777,True
2025-06-11,3.5451080204159364,96,1843,0.1654911649350205,True
2025-06-18,5.395727826038058,96,2040,0.1928930387549129,True
2025-06-25,4.505070912146847,96,2316,0.2271795041249145,True
2025-07-02,4.201548817968551,96,2457,0.2488070855355581,True
2025-07-09,3.76731844490984,96,2604,0.2781475759815056,True
2025-07-16,3.676978149375618,96,2510,0.2616520088330534,True
2025-07-23,2.729815022576642,96,2728,0.3074992561224242,True
2025-07-30,4.315844939853285,96,2802,0.3110938935726675,True
2025-08-06,4.689952689631155,96,3256,0.3735325773115589,True
2025-08-13,2.924157203213565,96,3253,0.3734047919554377,True
2025-08-21,3.7360968682822353,96,2982,0.3125260537490546,True
2025-08-28,4.065426117934701,96,2937,0.3137851934254053,True
2025-09-04,4.301856764459659,96,2340,0.2352672377624213,True
2025-09-11,5.085942930679987,96,2243,0.2187347536671347,True
2025-09-18,3.422217036962757,96,1911,0.1627119564588088,True
2025-09-25,5.106389393132563,96,1997,0.1854487150972826,True
2025-10-02,4.313255643361406,96,1911,0.1666828822068629,True
2025-10-16,4.709271539964796,96,2098,0.1941049988620064,True
2025-10-23,4.091952072876678,96,2228,0.2149380009460118,True
2025-10-30,3.7320273916525126,96,2714,0.2781329969241125,True
2025-11-06,4.409372391298169,96,2425,0.2433321575562858,True
2025-11-13,4.576736553179087,96,3081,0.339415909019795,True
2025-11-20,4.043435923293182,96,3217,0.366666044611538,True
2025-11-27,3.948145940461103,96,3307,0.3729211203507681,True
2025-12-04,3.802894736335721,96,3631,0.4262414077658419,True
2025-12-11,6.445837118978415,96,3024,0.3315210108428553,True
2025-12-18,5.364583055817896,96,2290,0.2351240626677176,True
2025-12-26,4.138086632507891,96,1951,0.1839766667376973,True
2026-01-06,5.105694831525889,96,1688,0.0987294131868399,True
2026-01-13,4.462720689364601,96,1619,0.0762566817606429,True
2026-01-20,4.95352775574118,96,1790,0.136646250088557,True
2026-01-27,3.8090817759868494,96,2854,0.2956783091721694,True
