date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.474202605001937,15,54,0.22631249108529444,True
2025-02-11,0.44990135156405714,15,35,0.14710189394121612,True
2025-02-18,0.3156088718407236,15,32,0.14685688089553037,True
2025-02-25,0.5123425717114245,15,36,0.1485130838495752,True
2025-03-05,0.2638004051862851,15,33,0.0930539277065497,True
2025-03-12,0.6069489666357365,15,42,0.1435702100835711,True
2025-03-19,0.6474322548597986,15,48,0.14828807474917513,True
2025-03-26,0.7272348964623353,15,44,0.12643431868043437,True
2025-04-02,0.12938187055326178,15,47,0.2010798570229782,True
2025-04-09,1.030843438031128,15,65,0.24894358189400004,True
2025-04-16,0.4843249300558868,15,71,0.34149280022385514,True
2025-04-23,2.3011375618583093e-92,15,66,0.3640899668278554,False
2025-04-30,7.417989797430555e-17,15,70,0.3431504468589514,False
2025-05-12,9.190564352090698e-93,15,59,0.2600019056448028,False
2025-05-19,9.272487011286468e-17,15,38,0.10677141697090693,False
2025-05-26,0.6565067381767888,15,50,0.16098413245158216,True
2025-06-02,0.12032170530603371,15,40,0.15193838293922038,True
2025-06-11,0.5103706500377021,15,39,0.05733593870414349,True
2025-06-18,0.4356379040760895,15,40,0.09691194229020246,True
2025-06-25,0.4079004521746437,15,45,0.16594656171775143,True
2025-07-02,0.6330509534326111,15,53,0.200845234798625,True
2025-07-09,0.5101589412401715,15,56,0.2577183982525279,True
2025-07-16,1.26105814612857e-16,15,59,0.26149747674297796,False
2025-07-23,0.3693470955637544,15,52,0.2249684649487811,True
2025-07-30,0.3148994373950201,15,40,0.18963695048666737,True
2025-08-06,0.38917753405111954,15,59,0.26436084213164623,True
2025-08-13,0.24450284061922622,15,49,0.23974556873361866,True
2025-08-21,6.643842309812455e-93,15,52,0.24258249297159423,False
2025-08-28,0.6902287726108058,15,50,0.2194569895816959,True
2025-09-04,0.5301460197593623,15,47,0.1519539034665577,True
2025-09-11,0.9843465924386076,15,49,0.17350229497351286,True
2025-09-18,0.7458346180650738,15,39,0.14896753828422069,True
2025-09-25,0.9952884696282941,15,46,0.2028903397005874,True
2025-10-02,0.4394242114088675,15,46,0.15508088818605478,True
2025-10-16,0.4179620292935833,15,48,0.16472155871611818,True
2025-10-23,0.32576976114016554,15,53,0.18534827428233483,True
2025-10-30,0.5054969318035375,15,50,0.19122496533799138,True
2025-11-06,0.4766850940809227,15,42,0.16696881973746208,True
2025-11-13,0.33729954940341045,15,56,0.25293982563473816,True
2025-11-20,0.3170755482347456,15,60,0.30514678794849015,True
2025-11-27,0.26234833729936313,15,66,0.2947645849365574,True
2025-12-04,1.0535550975168462,15,71,0.33202064819153393,True
2025-12-11,0.7831310625551741,15,63,0.29598430628251415,True
2025-12-18,0.7903369356734667,15,51,0.23539950092761347,True
2025-12-26,0.5350258145904043,15,56,0.2847807630660444,True
2026-01-06,0.2640838055096726,15,33,0.1563019691860708,True
2026-01-13,0.5184337801537955,15,40,0.1570280877099831,True
2026-01-20,0.5031277825213515,15,48,0.16348115160965515,True
2026-01-27,0.7959373475885133,15,52,0.2552959787838794,True
2026-02-03,0.6571989130551911,15,68,0.34861810749483596,True
