date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,2.301137561858309e-92,16,53,,False
2025-02-11,6.808135867838271e-17,16,43,,False
2025-02-18,2.8665835232790595e-17,16,43,,False
2025-02-25,7.670458539527698e-92,16,47,,False
2025-03-05,5.733167044660137e-17,16,29,,False
2025-03-12,3.5832294040894535e-18,16,36,,False
2025-03-19,1.899111584186109e-16,16,41,,False
2025-03-26,7.883104691620435e-17,16,44,,False
2025-04-02,3.200403778789896e-94,16,63,,False
2025-04-09,6.136366831622158e-92,16,64,,False
2025-04-16,6.136366831622158e-92,16,63,,False
2025-04-23,1.2899623300291795e-16,16,73,,False
2025-04-30,7.7177513788785155e-78,16,59,,False
2025-05-12,4.4122047262151685e-78,16,38,,False
2025-05-19,7.670458539527698e-93,16,41,,False
2025-05-26,0.2545881908385431,16,50,0.2035560041171086,True
2025-06-02,0.2733510804431728,16,49,0.1759394938899733,True
2025-06-11,0.8062029860549589,16,55,0.2319781547519088,True
2025-06-18,1.7916147050212568e-17,16,43,0.1416505836581673,False
2025-06-25,0.2467317013530239,16,44,0.1491681815890671,True
2025-07-02,0.4748172897703188,16,53,0.1349079960904394,True
2025-07-09,0.5744887403728379,16,57,0.1643146043775266,True
2025-07-16,0.858818926243496,16,56,0.1506855588944865,True
2025-07-23,0.6518952896526374,16,49,0.0889186616061554,True
2025-07-30,0.4492896808840314,16,39,0.0663268823400186,True
2025-08-06,0.6227854354772946,16,50,0.157463285958752,True
2025-08-13,0.5459208695219367,16,51,0.179521001137152,True
2025-08-21,0.3243037609385782,16,57,0.2292160187714813,True
2025-08-28,0.5826484219459921,16,60,0.2311413941740757,True
2025-09-04,0.5215197083281728,16,49,0.1433374779390522,True
2025-09-11,2.454546732648864e-91,16,45,0.1281180297587349,False
2025-09-18,0.3503057059460764,16,44,0.0878331583832169,True
2025-09-25,0.4264998083934688,16,38,0.0921596805502736,True
2025-10-02,0.4547100668883256,16,47,0.0469481993140895,True
2025-10-16,7.191054880807217e-94,16,49,0.113135309463005,False
2025-10-23,0.2613299198746376,16,53,0.1291561656061407,True
2025-10-30,0.3234676331916554,16,55,0.1454001259607874,True
2025-11-06,0.5979421258524169,16,54,0.1425031868553423,True
2025-11-13,0.7991784229600762,16,59,0.1899500835670697,True
2025-11-20,0.6257298069783295,16,67,0.2293585283459433,True
2025-11-27,0.5578453370881686,16,69,0.2555446865874777,True
2025-12-04,0.5636117832540066,16,70,0.297728793916901,True
2025-12-11,0.753172320523355,16,63,0.2358638737239032,True
2025-12-18,0.8076316602085474,16,73,0.2012358216056436,True
2025-12-26,0.9222867737736156,16,56,0.1950953042602359,True
2026-01-06,0.66806782109978,16,44,0.1237451519216601,True
2026-01-13,0.221015091452212,16,43,0.1826385666450425,True
2026-01-20,0.4110652652507339,16,48,0.1785217232794848,True
2026-01-27,0.5501648328207367,16,45,0.1801133136286095,True
2026-02-03,0.6342838911316954,16,49,0.2455198718182353,True
