date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.753538459769119,27,214,0.2967830528497464,True
2025-02-11,1.2246146023429876,27,162,0.2030351422348898,True
2025-02-18,0.7736262601672855,27,145,0.196151214269472,True
2025-02-25,0.4758083681411619,27,146,0.2013950108396064,True
2025-03-05,1.2704737899505638,27,147,0.1609631368234383,True
2025-03-12,1.351572259887296,27,165,0.2090735077470541,True
2025-03-19,1.488165796876355,27,158,0.2072892810987247,True
2025-03-26,0.9164482305357088,27,169,0.2244613080879487,True
2025-04-02,1.3509812791187452,27,190,0.2441935808871643,True
2025-04-09,3.3846354341163187,27,262,0.3858255768882056,True
2025-04-16,8.799972913002987,27,332,0.5767174672271337,True
2025-04-23,7.328832849387384,27,334,0.586089126163525,True
2025-04-30,5.155664978689712,27,336,0.588095252665877,True
2025-05-12,2.380109662550629,27,285,0.4502725462301578,True
2025-05-19,0.5848044504762807,27,179,0.2263257397608479,True
2025-05-26,1.423587015348,27,177,0.2070693563585026,True
2025-06-02,0.8785548755489444,27,164,0.1962351570088092,True
2025-06-11,0.5823468971311605,27,165,0.1992150929557644,True
2025-06-18,0.8433017687526854,27,160,0.1950675908571008,True
2025-06-25,0.664500893664179,27,188,0.2412315637360876,True
2025-07-02,0.6018081828361314,27,185,0.2230881077835318,True
2025-07-09,1.4243968487033698,27,171,0.218643932165674,True
2025-07-16,0.7915626315838686,27,155,0.1992514672616233,True
2025-07-23,0.4675769643877172,27,118,0.0895677990014059,True
2025-07-30,0.3546714311836816,27,130,0.088967253714819,True
2025-08-06,0.8134569938285068,27,177,0.246112816169592,True
2025-08-13,1.078715090785392,27,184,0.2611147513913559,True
2025-08-21,2.235488392103961,27,221,0.3037901378253715,True
2025-08-28,0.9770657020453196,27,238,0.3338638947102018,True
2025-09-04,1.0308031179863912,27,199,0.2396440900444417,True
2025-09-11,0.8978084716070274,27,188,0.2279051884780928,True
2025-09-18,1.1278512678052528,27,131,0.1430049229529142,True
2025-09-26,0.8619101106004071,27,182,0.2414679968934182,True
2025-10-10,0.8876308510136287,27,176,0.2206461928501873,True
2025-10-17,1.3940242823685378,27,182,0.2403467987487131,True
2025-10-24,0.2577486173567691,27,163,0.2083778259600054,True
2025-10-31,0.5903379651560976,27,145,0.163352255373005,True
2025-11-07,1.5248420161762588,27,200,0.2510493285316398,True
2025-11-14,1.6657209798814914,27,214,0.2807031821682729,True
2025-11-21,1.5427806375231845,27,241,0.3343590498513575,True
2025-11-28,0.6168274939391571,27,252,0.3728832836809557,True
2025-12-05,0.7333502414258495,27,200,0.3109594374295398,True
2025-12-12,0.596611705144093,27,187,0.2645053262558661,True
2025-12-19,2.060707880375505,27,164,0.1963277504950298,True
2025-12-29,1.063345796308527,27,143,0.187884763483269,True
2026-01-07,0.9487162600822312,27,156,0.1665087308122117,True
2026-01-14,1.219664095508061,27,148,0.1472831915941702,True
2026-01-21,3.897401378787143e-15,27,130,0.0922400422391516,False
2026-01-28,1.0492963864266067,27,136,0.1237183444612925,True
2026-02-04,0.2530232116712512,27,178,0.231697663780858,True
2026-02-11,0.8421821759267971,27,255,0.3291590520039774,True
