date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,1.7075946465371694,36,273,0.1389513720129125,True
2025-02-11,2.337082761791896,36,289,0.1254997768513304,True
2025-02-18,1.345338667166181,36,275,0.1300934872760017,True
2025-02-25,1.516862869721329,36,299,0.1382285664678658,True
2025-03-05,2.035779013849077,36,323,0.2225154374547831,True
2025-03-12,1.884830813684127,36,342,0.25153497203824,True
2025-03-19,1.490103747596443,36,327,0.2422593317978258,True
2025-03-26,1.3855399383081406,36,360,0.271804123872817,True
2025-04-02,1.412984000880061,36,393,0.3096726619048626,True
2025-04-09,1.7545520522222398,36,366,0.2595931063914185,True
2025-04-16,1.1961932738120955,36,418,0.3385280399375505,True
2025-04-23,1.097864161528781,36,415,0.3368845873656189,True
2025-04-30,1.641776725706788,36,403,0.2457149056041334,True
2025-05-12,2.2012269240823445,36,327,0.2270582595095398,True
2025-05-19,2.0029868368456585,36,248,0.1366761625908791,True
2025-05-26,1.680560551263148,36,219,0.1021901047184171,True
2025-06-02,1.3634281765436005,36,236,0.1131163242307531,True
2025-06-11,1.3695037178730936,36,341,0.2679613244841314,True
2025-06-18,1.2878623319463742,36,289,0.2227895083464248,True
2025-06-25,1.7831852926027552,36,269,0.1789515969756932,True
2025-07-02,1.2294257920154557,36,333,0.2597359073125391,True
2025-07-09,1.8390519493000133,36,321,0.225559898894543,True
2025-07-16,1.225695174538406,36,318,0.2306386158624028,True
2025-07-23,1.8048077992124183,36,362,0.2569201207881271,True
2025-07-30,1.0501719156992706,36,292,0.1651049491465922,True
2025-08-06,1.2081357568504187,36,347,0.2559901559742718,True
2025-08-13,1.120493721418063,36,368,0.3018947428182519,True
2025-08-21,1.5483102029886924,36,377,0.3256194504211232,True
2025-08-28,0.866387053945064,36,418,0.3583227699033227,True
2025-09-04,1.3804411508586978,36,330,0.2304871416519502,True
2025-09-11,1.3820987513776506,36,353,0.241812068794579,True
2025-09-18,1.8037644272875704,36,323,0.232504890623877,True
2025-09-25,2.2150114747595,36,332,0.2318579182789395,True
2025-10-02,2.248133918432033,36,396,0.2974101444781353,True
2025-10-16,2.15786446685032,36,349,0.2798800955448979,True
2025-10-23,1.4633928352482928,36,351,0.277573761019073,True
2025-10-30,1.445484313171406,36,369,0.2940219043672781,True
2025-11-06,1.2942255892347316,36,322,0.2164215120836919,True
2025-11-13,1.3919523117323145,36,371,0.2871587655180574,True
2025-11-20,2.998347405697142,36,455,0.3677027179351778,True
2025-11-27,2.3395489175719795,36,423,0.3454993695423259,True
2025-12-04,1.3380747779483286,36,436,0.3728494056763852,True
2025-12-11,1.666631218702859,36,395,0.3085162154814903,True
2025-12-18,1.5767421513832232,36,303,0.2114755644602505,True
2025-12-26,1.5400156538591387,36,330,0.2194750707051407,True
2026-01-06,1.0124120204280862,36,329,0.1877067728020456,True
2026-01-13,0.7451882737470419,36,319,0.2075234708131489,True
2026-01-20,1.039687083312257,36,314,0.2185541627235232,True
2026-01-27,0.8663248884614954,36,372,0.3208348921499961,True
2026-02-03,0.6951372482616562,36,402,0.3631671505906754,True
2026-02-10,0.533086244827517,36,426,0.3885816741491311,True
