date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,-6.180375120682433e-17,16,55,,False
2025-02-11,-2.0619652464588204e-17,16,43,,False
2025-02-18,2.2804926726714265e-17,16,57,,False
2025-02-25,8.5977233925658255e-16,16,53,,False
2025-03-05,6.930426410691987e-17,16,46,,False
2025-03-12,-5.811738370105623e-17,16,54,,False
2025-03-19,6.67699207126001e-16,16,45,,False
2025-03-26,8.374811272980837e-19,16,48,,False
2025-04-02,-4.9465385136723756e-17,16,51,,False
2025-04-09,2.676155436137293e-15,16,74,,False
2025-04-16,-3.939210987414045e-17,16,97,,False
2025-04-23,4.3543653670809554e-17,16,97,,False
2025-04-30,1.5901603227840504e-15,16,90,,False
2025-05-12,0.5701762293428562,16,60,0.2255782121601968,True
2025-05-19,0.5877103991647519,16,47,0.0839704255558662,True
2025-05-26,0.3223176934871226,16,46,0.0882254426900719,True
2025-06-02,0.3112939330067839,16,46,0.093875830452562,True
2025-06-11,0.3915499192565743,16,46,0.0978699113585943,True
2025-06-18,0.4974338806012064,16,45,0.0729936577090074,True
2025-06-25,0.266876555835577,16,46,0.0586214038664156,True
2025-07-02,0.1908957636422506,16,45,0.0593614613094628,True
2025-07-09,0.6799113560526725,16,45,0.0989865300467232,True
2025-07-16,0.6345110200059083,16,46,0.1334710782977806,True
2025-07-23,0.5684389225892904,16,51,0.1957054549320734,True
2025-07-30,0.7305608485263884,16,57,0.2240710742548965,True
2025-08-06,0.8499395422829903,16,66,0.2559859236072406,True
2025-08-13,0.5419574306386012,16,66,0.2543667498300065,True
2025-08-21,0.2742892300985315,16,67,0.2864270752943252,True
2025-08-28,1.167406553966449,16,80,0.3066548793417813,True
2025-09-04,0.324160133735658,16,56,0.2192363870115307,True
2025-09-11,0.5109931635783574,16,55,0.2147490515640265,True
2025-09-18,0.6872637009005347,16,51,0.1298642527276826,True
2025-09-25,0.3970711178119102,16,42,0.0988215762582438,True
2025-10-02,0.4261911461303422,16,40,0.1424270806796325,True
2025-10-16,0.8517342724862618,16,51,0.1687473003714194,True
2025-10-23,0.2959684512606503,16,52,0.2033422209738618,True
2025-10-30,0.2489355896294565,16,52,0.19060543101156,True
2025-11-06,0.8970722184711483,16,60,0.1953073992326738,True
2025-11-13,0.2883431065202571,16,66,0.2693207237009946,True
2025-11-20,1.2076828472350294,16,67,0.2712243197534911,True
2025-11-27,1.7679402472753556,16,88,0.3709617171806995,True
2025-12-04,3.7123898105752144,16,106,0.4497393905310418,True
2025-12-11,1.9831735558940784,16,90,0.3612461994345622,True
2025-12-18,1.824151268614234,16,93,0.3893383620126547,True
2025-12-26,0.9360177954209729,16,81,0.3016284421073913,True
2026-01-06,0.6627440143974741,16,71,0.2541136869783863,True
2026-01-13,0.5131360020488342,16,67,0.2425832331062301,True
2026-01-20,0.399366951670296,16,44,0.0966888537032896,True
2026-01-27,0.5461266438997474,16,42,0.1030525202512985,True
2026-02-03,0.6506870032906061,16,51,0.2363911179459537,True
2026-02-10,1.406377417021044,16,73,0.3169099850467102,True
