date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,0.278792132060816,8,16,0.3383248646671882,True
2025-02-11,4.479740266011947e-16,8,16,0.3229116592964987,False
2025-02-18,0.595361189043306,8,20,0.3464829038610396,True
2025-02-25,0.3250591803349768,8,16,0.32644511078053,True
2025-03-05,0.8325916413714609,8,19,0.3990349320717676,True
2025-03-12,0.5746111525487527,8,18,0.390878917950353,True
2025-03-19,1.5833092092351946,8,22,0.3662818352158153,True
2025-03-26,1.5850556910582054,8,21,0.3766946426149624,True
2025-04-02,1.1957857881729586,8,21,0.3515370338185579,True
2025-04-09,1.2597981972265164,8,21,0.4113126254077744,True
2025-04-16,1.3923335710737257,8,23,0.482970946008811,True
2025-04-23,1.2096341332096434,8,21,0.4363796404940754,True
2025-04-30,0.8651158554076176,8,20,0.3907133534858247,True
2025-05-12,0.6428238163948452,8,18,0.355450024468221,True
2025-05-19,0.3121091185448064,8,13,0.2638327501978698,True
2025-05-26,0.6200403111397115,8,17,0.2886512366505074,True
2025-06-02,0.3112445635798773,8,13,0.2759309367474987,True
2025-06-11,0.6637038133053933,8,20,0.3358412655323643,True
2025-06-16,0.6819886412362393,9,24,0.2618463959700448,True
2025-06-18,0.928069520796976,8,22,0.3625089271593319,True
2025-06-23,0.3115164915471169,9,20,0.249752895108964,True
2025-06-25,0.5501179485468902,8,17,0.3419491474073944,True
2025-06-30,0.2730336442675533,9,19,0.2987492859049665,True
2025-07-02,0.874733589290965,8,19,0.3904132369771623,True
2025-07-07,0.1766748795762407,9,15,0.2306602679629163,True
2025-07-09,0.0878054047509978,8,13,0.2593821350013335,True
2025-07-14,0.4757659017478369,9,19,0.2040794006313973,True
2025-07-16,0.2524724000877868,8,16,0.1889986732060175,True
2025-07-21,0.7364448598852038,9,19,0.2195393127906194,True
2025-07-23,0.5218363033912096,8,16,0.1835774552412683,True
2025-07-28,0.4584160104442573,9,17,0.1925758395818277,True
2025-07-30,0.2828851703740945,8,11,0.1196527558282581,True
2025-08-04,1.524877697176024,9,28,0.3542803485051207,True
2025-08-06,1.102762159496512,8,19,0.3558702848893755,True
2025-08-11,1.582878567041216,9,28,0.3691145670493186,True
2025-08-13,1.274585144375315,8,22,0.3849533638268974,True
2025-08-19,1.5168707076051855,9,28,0.3953304605919036,True
2025-08-21,1.468444161157276,8,23,0.4112741349201582,True
2025-08-26,1.098947637246136,9,25,0.3935215221070469,True
2025-08-28,1.1276224208800545,8,20,0.3709456334912426,True
2025-09-02,0.4241106631557966,9,16,0.2145519477879983,True
2025-09-04,0.2520012480924987,8,10,0.1584091447605411,True
2025-09-09,0.8153109158409894,9,19,0.1564935457306815,True
2025-09-11,0.2502452896068541,8,14,0.1254616859483827,True
2025-09-16,0.571285512393005,9,20,0.05499705626062,True
2025-09-18,0.2932347290108606,8,13,0.0446701679728248,True
2025-09-23,0.1801200203997961,9,11,0.0251679248732749,True
2025-09-25,0.2203460230780174,8,9,0.1012135790193691,True
2025-09-30,0.4981251093339709,9,18,0.2078713650620714,True
2025-10-02,0.2307427344696114,8,11,0.2014029100549464,True
2025-10-14,8.084445635715634e-17,9,11,0.1744292239539741,False
2025-10-16,0.2071982977452888,8,11,0.2101381577931917,True
2025-10-21,0.9739875716316564,9,24,0.3339461631991682,True
2025-10-23,0.7732793091207422,8,18,0.3181290383823131,True
2025-10-28,0.9015717008195488,9,24,0.3208023224886029,True
2025-10-30,0.3864404746654848,8,18,0.2945456143488147,True
2025-11-04,0.4352063153700854,9,19,0.211909428717989,True
2025-11-06,0.3689521152021325,8,16,0.222912519043485,True
2025-11-11,0.4542039246458205,9,21,0.2660287476927512,True
2025-11-13,0.8250544148049558,8,20,0.2342848850368727,True
2025-11-18,0.6133193370627339,9,19,0.1782036995038022,True
2025-11-20,0.61133557956925,8,17,0.2614201000022422,True
2025-11-25,0.8023368463844789,9,20,0.2053686888085803,True
2025-11-27,0.5424425490689835,8,16,0.2641994906945374,True
2025-12-02,0.9775627854896506,9,21,0.2949235784208075,True
2025-12-04,0.5957691257110119,8,19,0.3355805923773713,True
2025-12-09,0.4606445851601967,9,22,0.2710162164009017,True
2025-12-11,8.592606848655913e-17,8,18,0.3130756936309423,False
2025-12-16,0.7958399882646172,9,25,0.3048971913863044,True
2025-12-18,0.6513313570390019,8,18,0.3406366060428216,True
2025-12-23,4.482932805978375e-17,9,20,0.2708072463093994,False
2025-12-26,0.8437502321866523,8,17,0.3463694039606933,True
2026-01-02,8.926782280691092e-16,9,19,0.2642703637447108,False
2026-01-06,0.3392181520791252,8,18,0.3433627340620566,True
2026-01-09,9.068192374777336e-16,9,22,0.3491904798514061,False
2026-01-16,0.2983819076308687,9,25,0.3226736927551023,True
2026-01-23,1.3401315543116603,9,30,0.4138738120349726,True
2026-01-30,1.9504125105246024,9,30,0.4211842844755074,True
2026-02-06,0.9140893399713502,9,23,0.3393629148487207,True
