date,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-02-04,4.440975339568665,99,2390,0.2196020227644136,True
2025-02-11,1.797160756930532e-14,99,2146,,False
2025-02-18,4.63505870073146e-16,99,2299,,False
2025-02-25,6.097049730947845e-15,99,2122,,False
2025-03-05,2.9186233739638307e-16,99,1528,,False
2025-03-12,1.6457489666129026e-15,99,1620,,False
2025-03-19,1.3473217883356909e-15,99,1607,,False
2025-03-26,5.598823143544379e-15,99,1615,,False
2025-04-02,6.839527906046203e-15,99,2183,,False
2025-04-09,1.61692984109064e-15,99,2676,,False
2025-04-16,4.041000795001491,99,3152,0.3441484864054043,True
2025-04-23,3.748261278844605,99,3314,0.3671969265363546,True
2025-04-30,4.135718216694732,99,3233,0.340725185255894,True
2025-05-12,4.422850206195659,99,2480,0.226745473710405,True
2025-05-19,4.186085126009004,99,1909,0.1254353995597869,True
2025-05-26,4.836404282983983,99,1846,0.1038302955137961,True
2025-06-02,4.263125878009161,99,1779,0.0964415544248943,True
2025-06-11,5.167212326204366,99,1720,0.1050785911712019,True
2025-06-18,4.705577068764157,99,1711,0.1210643601653837,True
2025-06-25,4.242875578112929,99,2073,0.1817207201815686,True
2025-07-02,6.019594562980435,99,2224,0.1988127923507135,True
2025-07-09,5.791537135380581,99,2191,0.196197953455772,True
2025-07-16,5.151914561703061,99,1871,0.1393436239546809,True
2025-07-23,5.019791564128719,99,1839,0.1110463897746218,True
2025-07-30,4.256559319768543,99,1854,0.1289658544443204,True
2025-08-06,5.35330278516586,103,2658,0.205228779260831,True
2025-08-13,4.692349021727414,103,2685,0.20558225674305655,True
2025-08-21,4.467884726831335,103,2629,0.20421774011035027,True
2025-08-28,4.761715122046206,103,2544,0.20529256103007804,True
2025-09-04,5.778834971913633,103,1939,0.1045746030402887,True
2025-09-11,4.525580993134257,103,2000,0.09476295447656079,True
2025-09-18,5.10830098347969,103,1976,0.07792273424314074,True
2025-09-25,4.961465708027542,103,2044,0.098520351219097,True
2025-10-02,4.958553083697751,103,1952,0.12395144958601355,True
2025-10-16,6.318091349956299,103,2288,0.18149079540049584,True
2025-10-23,4.682022825250446,103,2296,0.17188223836666652,True
2025-10-30,4.369046671811343,103,2192,0.1608699546362206,True
2025-11-06,4.426139478337895,103,2033,0.13806410063751032,True
2025-11-13,4.697784563650385,103,2048,0.13151697726277703,True
2025-11-20,5.345722140208868,103,2326,0.18029703108949388,True
2025-11-27,3.538679880867392,103,2442,0.1925787850543444,True
2025-12-04,4.707658505731141,103,2620,,False
2025-12-11,4.313812542139419,103,2530,0.20534311102519354,True
2025-12-18,5.12891696863792,103,2140,0.13963884438291208,True
2025-12-26,3.669857794138152,103,1904,0.11713990154005227,True
2026-01-06,4.096030076030052,103,2193,0.13546056186392355,True
2026-01-13,4.161962639554801,103,2245,0.1409226302747442,True
2026-01-20,3.688301642928197,103,2476,0.16779288344488605,True
2026-01-27,4.299606136584889,103,2674,0.19974339954380468,True
