Theme,Tier,Bull_Pct,Bear_Pct,Trend,Fiedler,Fiedler_Change,Stocks,Status
HBM(고대역폭메모리),2,58.064516129032256,12.903225806451612,0.14064516129032253,1.1230793111357111,0.141300561692558,31,WATCHLIST
자동차 대표주,2,55.55555555555556,22.22222222222222,0.1044444444444444,1.3490105195819715,0.0780759328882634,9,WATCHLIST
반도체 재료/부품,2,55.38461538461539,20.0,0.09753846153846148,2.022513471671715,0.015470240072545,65,WATCHLIST
LNG(액화천연가스),2,55.172413793103445,24.137931034482758,0.04896551724137928,1.8507429626903729,0.5942483009635966,29,WATCHLIST
로봇(산업용/협동로봇 등),2,52.83018867924528,35.84905660377358,-0.04415094339622646,3.619846551080364,1.0646874638050856,53,WATCHLIST
셰일가스(Shale Gas),2,50.0,42.857142857142854,-0.08000000000000006,1.0989737502143837,0.33525878266783,14,WATCHLIST
자원개발,2,50.0,50.0,-0.15875000000000006,0.5478842292554508,0.0566069018498929,16,WATCHLIST
태양광에너지,2,49.01960784313726,41.1764705882353,-0.09176470588235297,1.8697659355047744,0.4578812842902731,51,WATCHLIST
초전도체,2,47.05882352941177,35.294117647058826,-0.11764705882352944,1.1427977815627173,0.3830005449590589,17,WATCHLIST
2차전지,2,45.32374100719424,33.81294964028777,-0.04143884892086333,6.451566464707704,1.9336720020562852,139,WATCHLIST
원자력발전,2,44.642857142857146,33.92857142857143,-0.055000000000000014,4.050183223582385,1.3553358082218971,56,WATCHLIST
스마트팩토리(스마트공장),2,44.44444444444444,33.333333333333336,-0.049444444444444485,2.0251247630860814,0.2993025667920144,36,WATCHLIST
2차전지(소재/부품),2,44.15584415584416,32.467532467532465,-0.04571428571428574,2.3940244266785378,0.2318573969980035,77,WATCHLIST
우주항공산업(누리호/인공위성 등),2,42.857142857142854,35.714285714285715,-0.10642857142857143,2.925351773546235,0.5192233604633407,28,WATCHLIST
5G(5세대 이동통신),2,42.592592592592595,46.2962962962963,-0.1918518518518519,3.3814737872327223,0.8234209662242882,54,WATCHLIST
OLED(유기 발광 다이오드),2,42.5,35.0,-0.10175000000000003,3.081202618273448,0.4751664452028463,80,WATCHLIST
갤럭시 부품주,2,42.5,50.0,-0.18250000000000005,1.847244100070105,0.1217063597939314,40,WATCHLIST
4차산업 수혜주,2,41.86046511627907,39.53488372093023,-0.14604651162790702,2.9229231553238866,1.0014785563622757,43,WATCHLIST
리츠(REITs),2,40.90909090909091,45.45454545454545,-0.15181818181818185,1.7971211378297576,0.6703619568413026,22,WATCHLIST
